TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
2919,2707,W 35TH AV,ARBUTUS-RIDGE,TRAFALGAR ST,5000,ODD,N,5,31.00,20171119,B,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT,49.240720,-123.16579
2920,2794,W 23RD AV,ARBUTUS-RIDGE,MACDONALD ST,3900,EVEN,N,2,4.00,20090227,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.251760,-123.16770
2922,2794,W 23RD AV,ARBUTUS-RIDGE,MACDONALD ST,3900,EVEN,N,2,4.00,20090227,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.251640,-123.16770
2923,2794,W 23RD AV,ARBUTUS-RIDGE,MACDONALD ST,3900,EVEN,N,2,4.00,20090206,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.251520,-123.16770
1110,5410,BALSAM ST,ARBUTUS-RIDGE,BALSAM ST,5400,EVEN,N,5,19.00,20171119,L,N,N, ,FRAXINUS,AMERICANA,WHITE ASH,49.237396,-123.16057
1114,5410,BALSAM ST,ARBUTUS-RIDGE,BALSAM ST,5400,EVEN,N,5,17.50,20171119,L,N,N, ,FRAXINUS,AMERICANA,WHITE ASH,49.237459,-123.16057
734,2250,W 33RD AV,ARBUTUS-RIDGE,W 33RD AV,2200,EVEN,N,1,3.00,20171119,12,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA ,49.242119,-123.15851
762,5597,YEW ST,ARBUTUS-RIDGE,W 40TH AV,2200,ODD,N,1,3.00,20171119,8,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY,49.235656,-123.15866
1492,5410,BALSAM ST,ARBUTUS-RIDGE,BALSAM ST,5400,EVEN,N,5,20.00,20171119,L,N,N, ,ACER,CAMPESTRE,HEDGE MAPLE,49.237500,-123.16056
2946,2799,W 23RD AV,ARBUTUS-RIDGE,MACDONALD ST,3800,EVEN,N,1,3.00,20090210,3,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.252240,-123.16769
