TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
554,1294,GRANVILLE ST,DOWNTOWN,GRANVILLE ST,1200,EVEN,N,1,3.00,20091026,C,N,Y, ,FAGUS,SYLVATICA,EUROPEAN BEECH,49.276200,-123.12745
2685,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,2,5.50,20171119,G,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,0.000000,0.000000
2701,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,4,11.50,20171119,G,N,Y, ,FAGUS,SYLVATICA,EUROPEAN BEECH,0.000000,0.000000
2706,1391,RICHARDS ST,DOWNTOWN,RICHARDS ST,1300,ODD,N,2,6.50,20171119,G,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.273961,-123.12728
2718,501,PACIFIC BOULEVARD,DOWNTOWN,RICHARDS ST,1300,ODD,N,2,6.00,20171119,G,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,0.000000,0.000000
2736,828,DRAKE ST,DOWNTOWN,DRAKE ST,800,EVEN,N,2,4.00,20111206,C,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD,49.276801,-123.12900
972,1260,HOWE ST,DOWNTOWN,HOWE ST,1200,EVEN,N,1,3.00,20171119,C,N,Y,OCTOBER GLORY,ACER,RUBRUM,OCTOBER GLORY RED MAPLE,0.000000,0.000000
2644,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,2,3.00,20171119,G,N,Y, ,QUERCUS,RUBRA,RED OAK,0.000000,0.000000
2645,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,4,10.00,20171119,G,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,0.000000,0.000000
2648,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,2,3.00,20171119,G,N,Y, ,QUERCUS,RUBRA,RED OAK,0.000000,0.000000
2656,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,4,6.50,20171119,G,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,0.000000,0.000000
2659,501,PACIFIC BOULEVARD,DOWNTOWN,PACIFIC BOULEVARD,500,ODD,N,4,7.50,20171119,G,N,Y, ,QUERCUS,RUBRA,RED OAK,0.000000,0.000000
703,0,NELSON ST,DOWNTOWN,NELSON ST,0,EVEN,Y,2,5.00,20171119,3,N,Y, ,FRAXINUS,AMERICANA,WHITE ASH,49.274281,-123.11525
