TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
2624,3440,W 22ND AV,DUNBAR-SOUTHLANDS,W 22ND AV,3400,EVEN,N,1,3.00,20171119,12,N,Y,AUTUMN FLAME,ACER,RUBRUM,AUTUMN FLAME RED MAPLE,49.252800,-123.18082
333,3502,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3500,EVEN,N,1,3.00,20100204,12,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE,49.257730,-123.18215
1301,3368,DUNBAR ST,DUNBAR-SOUTHLANDS,DUNBAR ST,3300,EVEN,N,1,3.00,20081119,C,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,0.000000,0.000000
1078,3777,QUESNEL DRIVE,DUNBAR-SOUTHLANDS,W 22ND AV,3200,ODD,N,7,41.00,20171119,12,N,Y, ,ULMUS,AMERICANA,AMERICAN ELM,0.000000,0.000000
4192,3570,W 31ST AV,DUNBAR-SOUTHLANDS,W 31ST AV,3500,EVEN,N,5,15.00,20171119,9,N,Y, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH,49.244220,-123.18397
3542,4098,W 18TH AV,DUNBAR-SOUTHLANDS,CAMOSUN ST,3400,EVEN,N,1,3.00,20171119,N,N,N, ,MAGNOLIA,SPECIES,MAGNOLIA SPECIES,0.000000,0.000000
5791,3708,W 35TH AV,DUNBAR-SOUTHLANDS,W 35TH AV,3700,EVEN,N,9,50.00,20171119,L,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,0.000000,0.000000
6144,3961,W 31ST AV,DUNBAR-SOUTHLANDS,W 31ST AV,3900,ODD,N,4,25.00,20171119,L,N,N, ,ACER,PLATANOIDES,NORWAY MAPLE,49.244760,-123.19263
7548,5811,BLENHEIM ST,DUNBAR-SOUTHLANDS,BLENHEIM ST,5800,ODD,N,1,3.00,20081118,6,N,Y,PURPLE HAZE,PRUNUS,SALICINA,PURPLE HAZE JAPANESE PLUM,49.233640,-123.17882
8888,4093,W 29TH AV,DUNBAR-SOUTHLANDS,W 29TH AV,4000,ODD,N,1,6.00,20130328,6,N,Y,SHIROTAE,PRUNUS,SERRULATA,SHIROTAE(MT FUJI) CHERRY,49.246280,-123.19657
7353,3506,W 43RD AV,DUNBAR-SOUTHLANDS,W 43RD AV,3500,EVEN,N,1,4.00,20090129,12,N,Y, ,CORNUS,KOUSA,JAPANESE DOGWOOD,49.232810,-123.18223
7394,5811,BLENHEIM ST,DUNBAR-SOUTHLANDS,BLENHEIM ST,5800,ODD,N,1,3.00,20081118,6,N,Y,PURPLE HAZE,PRUNUS,SALICINA,PURPLE HAZE JAPANESE PLUM,49.233550,-123.17882
15362,2926,W 36TH AV,DUNBAR-SOUTHLANDS,W 36TH AV,2900,EVEN,N,1,3.00,20120320,10,N,N,DRUMMONDI,ACER,PLATANOIDES,SILVER VARIEGATED NORWAY MAPLE,49.239420,-123.17091
12175,3360,W KING EDWARD AV,DUNBAR-SOUTHLANDS,W KING EDWARD AV,3300,MED,N,1,3.00,20101118,40,N,N, ,LTF SPECIMEN,DIOICUS,KENTUCKY COFFEETREE,0.000000,0.000000
18569,3522,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3500,EVEN,N,5,33.50,20171119,10,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,49.257280,-123.18260
17794,3784,W 16TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3700,ODD,N,3,14.00,20171119,10,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,0.000000,0.000000
17795,3784,W 16TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3784,ODD,N,3,24.00,20171119,10,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,0.000000,0.000000
17796,3784,W 16TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3784,ODD,N,3,16.00,20171119,10,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,0.000000,0.000000
18571,3528,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3500,EVEN,N,5,26.50,20171119,10,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,0.000000,0.000000
18573,3534,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3500,EVEN,N,6,24.00,20171119,10,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,49.257270,-123.18282
18575,3566,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3500,EVEN,N,6,20.00,20171119,10,N,Y, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH,49.257280,-123.18367
18576,3566,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3500,EVEN,N,7,25.00,20171119,10,N,Y, ,TSUGA,HETEROPHYLLA,WESTERN HEMLOCK,49.257280,-123.18370
18577,3706,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3700,EVEN,N,2,15.00,19970120,11,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.257320,-123.18673
18578,3750,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3700,EVEN,N,5,32.00,20171119,11,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,49.257330,-123.18717
18580,3820,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,3,20.00,20171119,10,N,Y, ,PRUNUS,AVIUM,MAZZARD CHERRY,49.257360,-123.18864
18583,3842,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,4,17.00,20171119,10,N,Y, ,PRUNUS,AVIUM,MAZZARD CHERRY,49.257370,-123.18911
18585,3848,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,3,15.00,20171119,10,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.257370,-123.18930
18587,3852,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,6,33.00,20171119,9,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.257370,-123.18952
18589,3864,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,9,32.00,20171119,10,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,0.000000,0.000000
18590,3870,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,8,29.00,20171119,10,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.257380,-123.18983
18591,3870,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,8,43.00,20021218,10,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.257380,-123.18993
18595,3880,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,3,12.00,20171119,10,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR,49.257380,-123.19020
18596,3888,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,Y,3,13.00,20171119,10,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.257380,-123.19030
18599,3890,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3800,EVEN,N,3,18.00,20171119,10,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.257380,-123.19049
18602,3896,W 17TH AV,DUNBAR-SOUTHLANDS,WALLACE ST,3300,EVEN,N,3,14.50,20171119,10,N,Y, ,JUGLANS,NIGRA,BLACK WALNUT,49.257230,-123.19071
18603,3896,W 17TH AV,DUNBAR-SOUTHLANDS,WALLACE ST,3300,EVEN,N,4,20.25,20171119,10,N,Y, ,PICEA,PUNGENS,COLORADO SPRUCE,49.257120,-123.19071
18604,3896,W 17TH AV,DUNBAR-SOUTHLANDS,WALLACE ST,3300,EVEN,N,5,29.75,20171119,B,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.257070,-123.19066
18605,3904,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,1,5.25,19970225,8,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.257390,-123.19120
18638,4004,W 17TH AV,DUNBAR-SOUTHLANDS,CROWN ST,3300,ODD,N,5,25.00,20171119,10,N,N, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST,49.257290,-123.19363
18639,4008,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,5,18.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,0.000000,0.000000
18641,4016,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,4,15.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257430,-123.19400
18643,4018,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,4,16.25,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257440,-123.19417
18644,4026,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,4,22.00,20171119,6,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257440,-123.19437
18646,4034,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,3,18.00,20171119,10,N,Y,PINK PERFECTION,PRUNUS,SERRULATA,PINK PERFECTION CHERRY,49.257440,-123.19456
18647,4038,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,4,20.00,20171119,6,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257450,-123.19474
18650,4048,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,4,20.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257450,-123.19492
18653,4054,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,4,15.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257450,-123.19515
18654,4058,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,5,24.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257450,-123.19531
18655,4068,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,3,12.50,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257460,-123.19548
18656,4076,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,6,28.00,20011016,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257460,-123.19564
18659,4094,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,5,23.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257470,-123.19615
18664,4098,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,4000,EVEN,N,5,16.00,20171119,10,N,Y, ,ACER,RUBRUM,RED MAPLE,49.257470,-123.19631
18666,4098,W 17TH AV,DUNBAR-SOUTHLANDS,CAMOSUN ST,3200,EVEN,N,2,8.00,20171119,N,N,N, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,0.000000,0.000000
18667,4098,W 17TH AV,DUNBAR-SOUTHLANDS,CAMOSUN ST,3200,EVEN,N,2,7.50,20171119,N,N,N, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,0.000000,0.000000
18608,3920,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,5,31.00,20171119,10,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR,49.257390,-123.19135
18610,3920,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,5,29.00,20171119,10,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR,49.257390,-123.19148
18611,3929,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,ODD,Y,1,4.25,20171119,N,N,Y, ,PRUNUS,SPECIES,"CHERRY, PLUM OR PEACH SPECIES",0.000000,0.000000
18612,3929,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,ODD,Y,1,5.00,20171119,N,N,Y, ,FICUS,CARICA,COMMON FIG,0.000000,0.000000
18613,3930,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,2,7.00,19970224,10,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.257400,-123.19161
18614,3936,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,2,7.75,19970224,10,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.257410,-123.19188
18615,3942,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,2,7.50,19970224,10,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.257410,-123.19201
17812,3864,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,5,22.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257860,-123.18979
18998,3967,W KING EDWARD AV,DUNBAR-SOUTHLANDS,W KING EDWARD AV,3900,MED,N,1,3.00,20101123,40,N,N,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.250130,-123.19260
18622,3970,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,4,20.00,20171119,8,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257420,-123.19266
18623,3980,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,5,30.00,20171119,8,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA,49.257420,-123.19287
18624,3980,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,N,5,30.00,20171119,8,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA,49.257420,-123.19295
18630,3996,W 17TH AV,DUNBAR-SOUTHLANDS,W 17TH AV,3900,EVEN,Y,6,42.00,20171119,8,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST,0.000000,0.000000
17876,4100,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,4100,EVEN,Y,4,17.00,20171119,10,N,Y, ,PRUNUS,PADUS,EUROPEAN BIRDCHERRY,49.257980,-123.19798
17878,4132,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,4100,EVEN,Y,4,15.50,20171119,10,N,Y, ,PRUNUS,PADUS,EUROPEAN BIRDCHERRY,49.257980,-123.19764
18772,3981,W KING EDWARD AV,DUNBAR-SOUTHLANDS,W KING EDWARD AV,3900,MED,N,1,3.00,20101116,40,N,N, ,CARPINUS,CAROLINIANA,AMERICAN HORNBEAM,49.250080,-123.19301
17804,3808,W 16TH AV,DUNBAR-SOUTHLANDS,HIGHBURY ST,3200,ODD,N,2,12.00,20171119,9,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,49.257540,-123.18810
17805,3808,W 16TH AV,DUNBAR-SOUTHLANDS,HIGHBURY ST,3200,ODD,N,3,16.00,20171119,10,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,49.257670,-123.18810
17806,3808,W 16TH AV,DUNBAR-SOUTHLANDS,HIGHBURY ST,3200,ODD,N,3,15.00,20171119,10,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,49.257750,-123.18810
17807,3820,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,5,28.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257840,-123.18859
17809,3836,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,6,19.50,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257850,-123.18910
17810,3848,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,6,23.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257850,-123.18928
17811,3858,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,6,32.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257850,-123.18963
17813,3880,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,6,32.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257860,-123.19010
17814,3884,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,6,32.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257870,-123.19025
17815,3890,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3800,EVEN,N,5,23.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257870,-123.19042
17826,3920,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,5,18.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257880,-123.19137
17827,3926,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,1,5.00,20040203,12,N,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.257880,-123.19155
17829,3940,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,6,24.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257890,-123.19186
17830,3946,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,7,43.50,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257890,-123.19201
17831,3952,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,1,3.00,20040203,12,N,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.257900,-123.19230
17832,3964,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,5,24.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257900,-123.19249
17833,3974,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,Y,5,28.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257910,-123.19284
17834,3984,W 16TH AV,DUNBAR-SOUTHLANDS,W 16TH AV,3900,EVEN,N,5,18.00,20171119,10,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.257910,-123.19300
17836,3996,W 16TH AV,DUNBAR-SOUTHLANDS,CROWN ST,3200,EVEN,N,1,3.00,20040302,10,N,N,NORTHWOOD,ACER,RUBRUM,NORTHWOOD RED MAPLE,49.257730,-123.19347
17837,3996,W 16TH AV,DUNBAR-SOUTHLANDS,CROWN ST,3200,EVEN,N,1,3.00,20040302,10,N,Y,NORTHWOOD,ACER,RUBRUM,NORTHWOOD RED MAPLE,49.257600,-123.19347
