TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
523,1590,W 1ST AV,FAIRVIEW,W 1ST AV,1500,EVEN,N,3,16.50,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270951,-123.14107
526,1607,W 1ST AV,FAIRVIEW,W 1ST AV,1600,MED,Y,4,9.75,20171119,20,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270683,-123.14138
531,1707,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,8.50,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270716,-123.14345
532,1727,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,15.50,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270712,-123.14314
535,1707,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,10.00,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270712,-123.14330
536,1707,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,11.00,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270719,-123.14374
538,1701,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,11.00,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270720,-123.14404
539,1705,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,10.00,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,0.000000,0.000000
540,1707,W 1ST AV,FAIRVIEW,W 1ST AV,1700,ODD,Y,3,8.50,20171119,B,N,Y, ,ACER,RUBRUM,RED MAPLE,49.270718,-123.14358
1558,1601,W 2ND AV,FAIRVIEW,FIR ST,1700,ODD,N,4,11.50,20171119,3,N,Y, ,TILIA,CORDATA,LITTLE-LEAF LINDEN,49.269952,-123.14087
