TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
2186,1425,E 3RD AV,GRANDVIEW-WOODLAND,MCLEAN DRIVE,1800,EVEN,N,3,13.00,20171119,3,N,N,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.268193,-123.07537
2188,1425,E 3RD AV,GRANDVIEW-WOODLAND,MCLEAN DRIVE,1800,EVEN,N,3,11.00,20171119,3,N,N,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.268088,-123.07537
2189,1425,E 3RD AV,GRANDVIEW-WOODLAND,MCLEAN DRIVE,1800,EVEN,N,3,9.50,20171119,3,N,N,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.267984,-123.07537
2195,1700,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,EVEN,N,4,12.00,20171119,8,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT,0.000000,0.000000
2196,1700,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,EVEN,N,4,12.00,20171119,8,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT,0.000000,0.000000
2197,1722,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,EVEN,N,3,20.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267738,-123.06904
2198,1731,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,ODD,N,2,15.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267832,-123.06892
2201,1742,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,EVEN,N,3,25.25,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267732,-123.06861
2202,1751,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,ODD,N,2,24.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267831,-123.06848
2203,1752,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,EVEN,N,2,18.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267731,-123.06832
2204,1761,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,ODD,N,3,26.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267830,-123.06825
2206,1775,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,ODD,N,5,34.00,20020111,8,N,Y, ,ULMUS,GLABRA,SCOTS ELM ,49.267824,-123.06793
2207,1776,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,EVEN,N,3,32.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267729,-123.06810
2208,1779,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1700,ODD,N,3,24.50,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267824,-123.06781
2210,1804,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,EVEN,N,3,25.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267731,-123.06768
2212,1807,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,ODD,N,3,30.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267823,-123.06761
2214,1823,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,ODD,N,3,26.50,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267819,-123.06717
2215,1824,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,EVEN,N,3,29.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267724,-123.06727
2216,1841,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,ODD,N,3,34.25,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267817,-123.06678
2217,1850,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,EVEN,N,3,29.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267715,-123.06605
2220,1850,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,EVEN,N,3,29.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267719,-123.06686
2222,1850,E 3RD AV,GRANDVIEW-WOODLAND,E 3RD AV,1800,EVEN,N,3,30.00,20171119,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267722,-123.06704
