TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
626,1031,BOUNDARY ROAD,HASTINGS-SUNRISE,BOUNDARY ROAD,1000,ODD,N,1,3.00,20081204,3,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC,49.275296,-123.02378
630,1035,BOUNDARY ROAD,HASTINGS-SUNRISE,BOUNDARY ROAD,1000,ODD,N,1,3.00,20081204,3,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC,49.275212,-123.02378
639,601,KAMLOOPS ST,HASTINGS-SUNRISE,KAMLOOPS ST,600,ODD,N,1,9.00,20090129,10,N,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE,49.278729,-123.05466
552,3610,E 1ST AV,HASTINGS-SUNRISE,E 1ST AV,3600,MED,N,1,3.00,20080912,10,N,Y, ,EUONYMUS,EUROPEA,SPINDLE TREE,49.269446,-123.02605
203,2401,E 1ST AV,HASTINGS-SUNRISE,E 1ST AV,2400,ODD,Y,2,4.00,19970401,6,N,Y,DAWYCKII  PURPLE,FAGUS,SYLVATICA,PURPLE DAWYCK BEECH,49.269626,-123.05616
204,2439,E 1ST AV,HASTINGS-SUNRISE,E 1ST AV,2400,ODD,N,2,4.00,19970401,6,N,Y,FRANZ FONTAINE,CARPINUS,BETULUS,FRANZ FONTAINE HORNBEAM,0.000000,0.000000
2291,2582,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2500,EVEN,N,3,20.75,20171119,7,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267530,-123.05261
2293,2601,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,2,11.00,20171119,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.267634,-123.05183
2294,2601,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,3,18.50,20171119,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,0.000000,0.000000
2295,2623,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,3,11.00,20171119,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.267631,-123.05155
2296,2631,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,3,17.00,20171119,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267631,-123.05124
2297,2647,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,3,13.00,20171119,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.267630,-123.05093
2298,2655,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,3,21.50,20171119,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267629,-123.05063
2299,2663,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,ODD,Y,3,14.25,20171119,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.267631,-123.05042
2301,2646,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,EVEN,N,3,20.00,20171119,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.267528,-123.05094
2302,2654,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,EVEN,N,3,34.00,20171119,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.267528,-123.05064
2303,2670,E 3RD AV,HASTINGS-SUNRISE,E 3RD AV,2600,EVEN,N,3,17.50,20171119,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.267531,-123.05038
