TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
553,1554,E 13TH AV,KENSINGTON-CEDAR COTTAGE,E 13TH AV,1500,EVEN,N,1,2.25,20090202,7,N,Y,VILLAGE GREEN,ZELKOVA,SERRATA,VILLAGE GREEN ZELKOVA ,49.258631,-123.07237
1614,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,13.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236853,-123.08743
1615,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,16.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236843,-123.08744
1616,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,8.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236834,-123.08744
1618,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,8.50,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236828,-123.08744
986,1435,KINGSWAY,KENSINGTON-CEDAR COTTAGE,KINGSWAY,1400,MED,N,1,3.00,20091105,5,N,Y,DAWYCKII,FAGUS,SYLVATICA,DAWYCK'S BEECH,49.249678,-123.07504
1627,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,10.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236813,-123.08744
1711,5510,ROSS ST,KENSINGTON-CEDAR COTTAGE,ROSS ST,5500,EVEN,N,6,28.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.234557,-123.08185
1714,5379,CULLODEN ST,KENSINGTON-CEDAR COTTAGE,CULLODEN ST,5300,ODD,N,4,17.00,20171119,L,N,N, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,49.235764,-123.07897
1538,1736,E 32ND AV,KENSINGTON-CEDAR COTTAGE,E 32ND AV,1700,EVEN,N,1,3.00,20130315,10,N,N,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.241527,-123.06950
1628,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,11.50,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236803,-123.08744
1672,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,23.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236793,-123.08744
1673,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,11.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236781,-123.08744
1675,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,11.50,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236773,-123.08744
1677,5337,ST. CATHERINES ST,KENSINGTON-CEDAR COTTAGE,ST. CATHERINES ST,5300,ODD,N,5,18.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.236765,-123.08744
