TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
2311,2349,W 49TH AV,KERRISDALE,W 49TH AV,2300,ODD,N,3,9.00,20171119,B,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,49.227318,-123.16089
1002,6490,CEDARHURST ST,KERRISDALE,W 49TH AV,2900,EVEN,N,6,18.50,20171119,B,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK,49.227510,-123.17154
2619,2188,W 53RD AV,KERRISDALE,W 53RD AV,2100,EVEN,N,6,18.50,20171119,N,N,N, ,PINUS,NIGRA,AUSTRIAN PINE,49.222795,-123.15774
2625,2188,W 53RD AV,KERRISDALE,W 53RD AV,2100,EVEN,N,5,14.00,20171119,N,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH,49.222776,-123.15780
652,6808,MARGUERITE ST,KERRISDALE,W 52ND AV,1600,EVEN,N,1,3.00,20090407,10,N,Y,WADA'S MEMORY,MAGNOLIA,KEWENSIS X,MAGNOLIA WADA'S MEMORY ,49.224088,-123.14453
248886,1750,W 75TH AV,KERRISDALE,W 75TH AV,1700,EVEN,N,1,3.00,20171119,4,N,Y,GLOBOSA,CARPINUS,BETULUS,GLOBE HORNBEAM,0.000000,0.000000
740,6808,MARGUERITE ST,KERRISDALE,W 52ND AV,1600,EVEN,N,1,3.00,20090331,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA ,49.224084,-123.14464
743,6767,CHURCHILL ST,KERRISDALE,CHURCHILL ST,6700,ODD,N,1,3.00,20171119,N,N,Y,GALAXY,MAGNOLIA,XX,MAGNOLIA 'GALAXY' ,49.224534,-123.14184
745,5987,WILTSHIRE ST,KERRISDALE,WILTSHIRE ST,5900,ODD,N,1,3.00,20090401,15,N,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE,49.231683,-123.14648
746,6968,CHURCHILL ST,KERRISDALE,CHURCHILL ST,6900,EVEN,N,1,3.00,20171119,N,N,Y,APOLLO,MAGNOLIA,XX,MAGNOLIA 'APOLLO' ,49.222323,-123.14179
747,6868,CHURCHILL ST,KERRISDALE,CHURCHILL ST,6800,EVEN,N,1,3.00,20171119,N,N,Y,APOLLO,MAGNOLIA,XX,MAGNOLIA 'APOLLO' ,49.223414,-123.14175
748,6842,CHURCHILL ST,KERRISDALE,CHURCHILL ST,6800,EVEN,N,1,3.00,20171119,N,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA ,49.223640,-123.14174
750,6588,CHURCHILL ST,KERRISDALE,CHURCHILL ST,6500,EVEN,N,1,3.00,20171119,N,N,Y,APOLLO,MAGNOLIA,XX,MAGNOLIA 'APOLLO' ,49.226119,-123.14164
752,1890,W 75TH AV,KERRISDALE,W 75TH AV,1800,EVEN,Y,1,3.00,20171119,N,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY,0.000000,0.000000
760,1790,W 75TH AV,KERRISDALE,W 75TH AV,1700,EVEN,Y,1,3.00,20171119,4,N,Y,GLOBOSA,CARPINUS,BETULUS,GLOBE HORNBEAM,0.000000,0.000000
1647,3210,SW MARINE DRIVE,KERRISDALE,SW MARINE DRIVE,3200,EVEN,N,3,8.00,20171119, ,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,49.229080,-123.17618
1648,3210,SW MARINE DRIVE,KERRISDALE,SW MARINE DRIVE,3200,EVEN,N,3,10.00,20171119, ,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED,49.229120,-123.17626
201,1816,W 62ND AV,KERRISDALE,W 62ND AV,1800,EVEN,N,1,5.50,20080205,N,N,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE,49.215019,-123.14935
1079,6876,CYPRESS ST,KERRISDALE,CYPRESS ST,6800,EVEN,N,1,3.00,20171119,10,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,49.223352,-123.14946
4207,6011,MACDONALD ST,KERRISDALE,MACDONALD ST,6000,ODD,N,4,28.00,20171119,B,N,Y, ,CASTANEA,SATIVA,SPANISH CHESTNUT,49.231650,-123.16756
4230,6011,MACDONALD ST,KERRISDALE,MACDONALD ST,6000,ODD,N,4,24.00,20171119,B,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK,49.231690,-123.16756
6197,1975,W 60TH AV,KERRISDALE,MAPLE ST,7400,EVEN,N,1,5.00,20100201,N,N,Y,AUTUMN FLAME,ACER,RUBRUM,AUTUMN FLAME RED MAPLE,49.217275,-123.15245
4232,6011,MACDONALD ST,KERRISDALE,MACDONALD ST,6000,ODD,N,2,6.00,20171119,B,N,Y, ,ILEX,AQUIFOLIUM,ENGLISH HOLLY,49.231730,-123.16756
5569,7408,MAPLE ST,KERRISDALE,MAPLE ST,7400,EVEN,N,1,6.50,20100201,N,N,Y,AUTUMN FLAME,ACER,RUBRUM,AUTUMN FLAME RED MAPLE,49.218102,-123.15243
5509,6037,MACDONALD ST,KERRISDALE,MACDONALD ST,6000,ODD,N,1,3.00,20171119,4,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD,49.231470,-123.16751
5518,6037,MACDONALD ST,KERRISDALE,MACDONALD ST,6000,ODD,N,1,3.00,20171119,4,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD,49.231550,-123.16751
6848,5718,ADERA ST,KERRISDALE,W 41ST AV,1600,EVEN,N,4,12.00,20171119,B,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR,49.234270,-123.14285
