TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
640,7030,MONT ROYAL SQUARE,KILLARNEY,MONT ROYAL SQUARE,7000,EVEN,N,1,3.00,20090312,2,Y,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA ,49.219697,-123.03791
332,3299,MARINE WAY,KILLARNEY,MARINE WAY,3200,ODD,Y,1,2.50,20090406,4,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,0.000000,0.000000
6699,6270,TYNE ST,KILLARNEY,TYNE ST,6200,EVEN,N,3,17.50,20171119,B,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.227078,-123.03196
6704,6270,TYNE ST,KILLARNEY,TYNE ST,6200,EVEN,N,3,18.00,20171119,B,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.227011,-123.03196
14854,3380,E 54TH AV,KILLARNEY,E 54TH AV,3300,EVEN,Y,1,3.00,20090421,6,Y,Y,DEBORAH,ACER,PLATANOIDES,DEBORAH NORWAY MAPLE,49.220050,-123.03367
14938,3466,E 47TH AV,KILLARNEY,E 47TH AV,3400,EVEN,N,1,3.00,20100111,6,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.226350,-123.03017
12177,3275,E 47TH AV,KILLARNEY,E 47TH AV,3200,ODD,N,1,3.00,20090416,7,N,Y, ,CRATAEGUS,PHAENOPYRUM,WASHINGTON HAWTHORN,49.227758,-123.03710
12185,3407,E 47TH AV,KILLARNEY,TYNE ST,6200,EVEN,N,1,3.00,20090416,12,N,Y, ,CRATAEGUS,PHAENOPYRUM,WASHINGTON HAWTHORN,49.226872,-123.03204
15492,7401,BOUNDARY ROAD,KILLARNEY,BOUNDARY ROAD,7400,ODD,Y,1,3.00,20091106,4,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.215589,-123.02385
15493,7201,BOUNDARY ROAD,KILLARNEY,BOUNDARY ROAD,7200,ODD,Y,1,3.00,20091105,4,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.217901,-123.02386
15557,6901,BOUNDARY ROAD,KILLARNEY,BOUNDARY ROAD,6900,ODD,Y,1,3.00,20091030,4,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.220264,-123.02386
15848,3458,E 47TH AV,KILLARNEY,E 47TH AV,3400,EVEN,N,1,3.00,20100111,6,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.226356,-123.03035
15448,3350,E 54TH AV,KILLARNEY,E 54TH AV,3300,EVEN,N,1,3.00,20090421,6,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE,49.220050,-123.03485
30023,3011,E KENT AV SOUTH,KILLARNEY,E KENT AV SOUTH,3000,ODD,Y,3,9.00,20130131,N,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.206581,-123.04338
29615,3011,E KENT AV SOUTH,KILLARNEY,E KENT AV SOUTH,3000,ODD,Y,3,9.00,20130131,N,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN,49.206583,-123.04324
