TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
594,2401,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,4,14.00,20171119,B,N,Y, ,PINUS,NIGRA,AUSTRIAN PINE,49.270961,-123.15993
595,2405,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,2,3.00,19970109,B,N,Y,CALOCARPA,MALUS,ZUMI,REDBUD CRABAPPLE,0.000000,0.000000
596,2428,W 1ST AV,KITSILANO,W 1ST AV,2400,EVEN,N,2,11.00,20171119,B,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY,49.270831,-123.16020
598,2428,W 1ST AV,KITSILANO,W 1ST AV,2400,EVEN,N,2,3.00,20171119,B,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY,49.270839,-123.16051
599,1725,BALSAM ST,KITSILANO,W 1ST AV,2400,EVEN,N,2,13.50,20171119,B,N,Y, ,PICEA,ABIES,NORWAY SPRUCE,49.270831,-123.15999
600,2407,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,2,12.00,20171119,B,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.270958,-123.16008
602,1725,BALSAM ST,KITSILANO,W 1ST AV,2400,EVEN,N,3,9.00,20171119,B,N,Y, ,PICEA,ABIES,NORWAY SPRUCE,49.270832,-123.16004
604,2428,W 1ST AV,KITSILANO,W 1ST AV,2400,EVEN,N,2,12.00,20171119,B,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY,49.270841,-123.16071
605,2409,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,3,12.00,20171119,B,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR,0.000000,0.000000
606,2409,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,2,20.00,20171119,B,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.270968,-123.16047
607,2409,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,5,28.00,20171119,B,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR,49.270954,-123.16039
608,2409,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,4,11.00,20171119,B,N,Y, ,PINUS,NIGRA,AUSTRIAN PINE,49.270966,-123.16031
610,2435,W 1ST AV,KITSILANO,W 1ST AV,2400,ODD,N,3,10.00,20171119,B,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA ,0.000000,0.000000
