TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
1461,702,W 60TH AV,MARPOLE,W 60TH AV,700,EVEN,N,1,2.00,20080118,9,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST,49.215958,-123.12026
1462,708,W 60TH AV,MARPOLE,W 60TH AV,700,EVEN,N,1,2.00,20080118,9,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST,49.215962,-123.12044
732,1532,W 68TH AV,MARPOLE,W 68TH AV,1500,EVEN,N,1,3.00,20171119,6,N,Y,ARIE PETERS,FRAXINUS,ORNUS,FLOWERING ASH,49.210482,-123.14168
587,7722,ADERA ST,MARPOLE,ADERA ST,7700,EVEN,Y,3,5.00,20081114,12,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,49.215614,-123.14335
6613,7516,CAMBIE ST,MARPOLE,CAMBIE ST,7500,EVEN,N,1,4.50,20081126,12,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE,49.216547,-123.11662
6622,7584,CAMBIE ST,MARPOLE,CAMBIE ST,7500,EVEN,N,2,5.00,20081126,12,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE,49.216158,-123.11664
6710,8708,CARTIER ST,MARPOLE,CARTIER ST,8700,EVEN,N,2,7.00,20171119,6,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.206881,-123.13763
6713,8708,CARTIER ST,MARPOLE,CARTIER ST,8700,EVEN,N,2,3.00,20171119,6,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.206656,-123.13764
6714,8708,CARTIER ST,MARPOLE,CARTIER ST,8700,EVEN,N,2,3.50,20171119,B,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.206797,-123.13758
6773,8708,CARTIER ST,MARPOLE,CARTIER ST,8700,EVEN,N,2,3.75,20171119,B,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.206686,-123.13759
