TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
1456,1107,W 54TH AV,OAKRIDGE,OSLER ST,7000,ODD,N,1,1.50,20090122,7,Y,Y,CALOCARPA,MALUS,ZUMI,REDBUD CRABAPPLE,49.222041,-123.13076
1457,1305,W 57TH AV,OAKRIDGE,W 57TH AV,1300,ODD,N,1,4.50,20080117,3,N,N, ,NYSSA,SYLVATICA,TUPELO,49.219371,-123.13456
1458,1305,W 57TH AV,OAKRIDGE,W 57TH AV,1300,ODD,N,1,6.00,20080117,3,N,Y, ,NYSSA,SYLVATICA,TUPELO,49.219364,-123.13421
1460,1305,W 57TH AV,OAKRIDGE,HUDSON ST,7200,ODD,N,1,3.00,20080117,3,Y,Y,RED JEWEL,MALUS,XX,RED JEWEL CRABAPPLE,49.219669,-123.13415
1486,145,W 44TH AV,OAKRIDGE,W 44TH AV,100,ODD,N,1,5.00,20050127,7,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE,49.230538,-123.10942
2642,1102,W 48TH AV,OAKRIDGE,W 48TH AV,1100,EVEN,N,2,8.00,20171119,B,N,Y, ,ACER,PALMATUM,JAPANESE MAPLE,49.227486,-123.13069
707,1419,W 55TH AV,OAKRIDGE,W 55TH AV,1400,ODD,N,1,3.00,20171119,7,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE,49.220827,-123.13815
767,6790,CAMBIE ST,OAKRIDGE,CAMBIE ST,6700,EVEN,Y,1,3.00,20171119,4,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.223550,-123.11636
775,6770,CAMBIE ST,OAKRIDGE,CAMBIE ST,6700,EVEN,N,1,3.00,20171119,4,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.223650,-123.11635
776,6750,CAMBIE ST,OAKRIDGE,CAMBIE ST,6700,EVEN,N,1,3.00,20171119,4,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.223943,-123.11633
2760,1456,W 53RD AV,OAKRIDGE,W 53RD AV,1400,EVEN,N,1,4.25,20080222,10,N,Y,WORPLESDON,LIQUIDAMBAR,STYRACIFLUA,WORPLESDON SWEETGUM,49.222543,-123.13881
4168,1475,W 52ND AV,OAKRIDGE,W 52ND AV,1400,ODD,N,4,30.00,20171119,N,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.224144,-123.13904
4179,1475,W 52ND AV,OAKRIDGE,W 52ND AV,1400,ODD,N,4,26.00,20171119,N,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR,49.224142,-123.13901
4180,1475,W 52ND AV,OAKRIDGE,W 52ND AV,1400,ODD,N,2,8.00,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.224136,-123.13877
5792,792,W 48TH AV,OAKRIDGE,W 48TH AV,700,EVEN,N,1,2.00,20171119,N,N,Y, ,ACER,SPECIES,MAPLE SPECIES,0.000000,0.000000
3624,1002,W 45TH AV,OAKRIDGE,OAK ST,6100,ODD,N,2,3.00,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.229972,-123.12833
3625,6151,OAK ST,OAKRIDGE,OAK ST,6100,ODD,N,2,3.00,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.229875,-123.12834
3626,6155,OAK ST,OAKRIDGE,OAK ST,6100,ODD,N,2,3.50,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.229756,-123.12834
3670,6179,OAK ST,OAKRIDGE,OAK ST,6100,ODD,N,2,3.50,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.229667,-123.12834
3671,6183,OAK ST,OAKRIDGE,OAK ST,6100,ODD,N,3,3.75,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.229561,-123.12835
3673,6183,OAK ST,OAKRIDGE,OAK ST,6100,ODD,N,2,3.00,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.229450,-123.12835
5746,1001,W 46TH AV,OAKRIDGE,OAK ST,6100,ODD,N,2,3.25,20171119,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,0.000000,0.000000
5747,1002,W 45TH AV,OAKRIDGE,W 45TH AV,1000,EVEN,N,1,5.00,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.230175,-123.12845
6786,1187,W 42ND AV,OAKRIDGE,W 42ND AV,1100,ODD,N,4,23.00,20171119,B,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR,0.000000,0.000000
5106,1006,W 45TH AV,OAKRIDGE,W 45TH AV,1000,EVEN,N,1,3.75,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.230181,-123.12853
5186,1012,W 45TH AV,OAKRIDGE,W 45TH AV,1000,EVEN,N,1,3.75,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.230183,-123.12870
5195,1018,W 45TH AV,OAKRIDGE,W 45TH AV,1000,EVEN,N,1,3.50,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.230189,-123.12886
10381,1017,W 46TH AV,OAKRIDGE,W 46TH AV,1000,ODD,N,2,4.00,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.229372,-123.12888
8585,1011,W 46TH AV,OAKRIDGE,W 46TH AV,1000,ODD,N,1,3.00,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.229367,-123.12876
9563,1003,W 46TH AV,OAKRIDGE,W 46TH AV,1000,ODD,N,2,4.50,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.229364,-123.12859
9564,1001,W 46TH AV,OAKRIDGE,W 46TH AV,1000,ODD,N,2,4.50,20171119,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES,49.229356,-123.12845
12344,388,W 46TH AV,OAKRIDGE,W 46TH AV,300,EVEN,N,1,3.00,20090401,N,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.228675,-123.11412
12747,5888,CAMBIE ST,OAKRIDGE,CAMBIE ST,5800,EVEN,N,1,3.00,20091119,C,Y,Y,DAWYCKII,FAGUS,SYLVATICA,DAWYCK'S BEECH,49.231900,-123.11602
12725,5892,CAMBIE ST,OAKRIDGE,CAMBIE ST,5800,EVEN,N,1,3.00,20091119,C,Y,Y,DAWYCKII,FAGUS,SYLVATICA,DAWYCK'S BEECH,49.231814,-123.11602
13749,6929,CAMBIE ST,OAKRIDGE,CAMBIE ST,6900,MED,N,1,3.00,20091207,35,N,Y,AKEBONO,PRUNUS,X YEDOENSIS,AKEBONO FLOWERING CHERRY,49.222389,-123.11666
13017,5912,CAMBIE ST,OAKRIDGE,CAMBIE ST,5900,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.231386,-123.11603
13091,5962,CAMBIE ST,OAKRIDGE,CAMBIE ST,5900,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.231128,-123.11604
13098,6012,CAMBIE ST,OAKRIDGE,CAMBIE ST,6000,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.230569,-123.11606
13099,6014,CAMBIE ST,OAKRIDGE,CAMBIE ST,6000,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.230461,-123.11606
13100,6108,CAMBIE ST,OAKRIDGE,CAMBIE ST,6100,EVEN,N,1,3.00,20091217,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.229486,-123.11610
13106,6062,CAMBIE ST,OAKRIDGE,CAMBIE ST,6000,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.230222,-123.11607
13107,6196,CAMBIE ST,OAKRIDGE,CAMBIE ST,6100,EVEN,N,1,3.00,20091218,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.228947,-123.11612
13337,6599,CAMBIE ST,OAKRIDGE,CAMBIE ST,6500,MED,Y,1,3.00,20130409,24,N,Y, ,CALOCEDRUS,DECURRENS,CALIFORNIA INCENSE CEDAR,49.225364,-123.11654
16644,7030,GRANVILLE ST,OAKRIDGE,GRANVILLE ST,7000,EVEN,N,3,24.00,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.222233,-123.13936
16646,7030,GRANVILLE ST,OAKRIDGE,GRANVILLE ST,7000,EVEN,N,3,12.50,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.222225,-123.13936
16648,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,16.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226161,-123.13207
16649,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,10.25,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226161,-123.13208
16651,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,15.50,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226161,-123.13209
16653,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,17.75,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226161,-123.13210
16654,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,12.75,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226164,-123.13211
16655,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,10.25,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226164,-123.13213
16657,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,19.00,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226164,-123.13214
16660,1155,W 50TH AV,OAKRIDGE,W 50TH AV,1100,ODD,N,6,29.75,20171119,L,N,N, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.226164,-123.13216
16665,7007,OAK ST,OAKRIDGE,OAK ST,7000,ODD,N,2,9.50,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.222650,-123.12914
16667,7007,OAK ST,OAKRIDGE,OAK ST,7000,ODD,N,2,18.50,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.222633,-123.12914
17186,326,W 48TH AV,OAKRIDGE,ALBERTA ST,6400,ODD,N,1,3.00,20171119,N,N,N,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.226533,-123.11304
16236,6501,CAMBIE ST,OAKRIDGE,CAMBIE ST,6500,MED,Y,1,3.00,20130409,15,N,Y, ,CALOCEDRUS,DECURRENS,CALIFORNIA INCENSE CEDAR,49.225853,-123.11654
16280,5955,OAK ST,OAKRIDGE,OAK ST,5900,ODD,N,1,3.00,20130124,3,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.231719,-123.12828
17386,6710,CAMBIE ST,OAKRIDGE,CAMBIE ST,6700,EVEN,Y,1,3.00,20171119,5,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.224267,-123.11633
18354,6690,CAMBIE ST,OAKRIDGE,CAMBIE ST,6600,EVEN,Y,1,3.00,20171119,5,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.224381,-123.11632
17739,7192,CAMBIE ST,OAKRIDGE,CAMBIE ST,7100,EVEN,Y,1,3.00,20171119,3,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,0.000000,0.000000
17740,7200,CAMBIE ST,OAKRIDGE,CAMBIE ST,7200,EVEN,Y,1,3.00,20171119,3,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,0.000000,0.000000
17742,6670,CAMBIE ST,OAKRIDGE,CAMBIE ST,6600,EVEN,Y,1,3.00,20171119,5,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.224478,-123.11633
17743,6650,CAMBIE ST,OAKRIDGE,CAMBIE ST,6600,EVEN,Y,1,3.00,20171119,5,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.224803,-123.11631
22922,850,W 43RD AV,OAKRIDGE,W 43RD AV,800,EVEN,N,1,3.00,20120328,N,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.231964,-123.12575
20719,920,W 46TH AV,OAKRIDGE,W 46TH AV,900,EVEN,N,1,3.00,20120322,N,N,Y,LUTESCENS,SORBUS,ARIA,GOLDEN WHITEBEAM,49.229214,-123.12719
20727,6630,CAMBIE ST,OAKRIDGE,CAMBIE ST,6600,EVEN,Y,1,3.00,20171119,5,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.224928,-123.11630
20728,6610,CAMBIE ST,OAKRIDGE,CAMBIE ST,6600,EVEN,Y,1,3.00,20171119,5,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.225086,-123.11630
23081,850,W 43RD AV,OAKRIDGE,W 43RD AV,800,EVEN,N,1,3.00,20120328,N,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.231967,-123.12589
22907,755,W 54TH AV,OAKRIDGE,W 54TH AV,700,ODD,N,1,3.00,20171119,3,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,0.000000,0.000000
22296,6825,TISDALL ST,OAKRIDGE,W 52ND AV,7000,ODD,N,1,3.00,20120329,N,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,0.000000,0.000000
253641,806,W 48TH AV,OAKRIDGE,W 48TH AV,800,EVEN,N,1,3.00,20171119,N,N,Y, ,PARROTIA,PERSICA,PERSIAN IRONWOOD,0.000000,0.000000
21482,920,W 46TH AV,OAKRIDGE,W 46TH AV,900,EVEN,N,1,3.00,20120322,N,N,Y,LUTESCENS,SORBUS,ARIA,GOLDEN WHITEBEAM,49.229217,-123.12736
21486,6825,TISDALL ST,OAKRIDGE,W 52ND AV,7000,ODD,N,1,3.00,20120329,N,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,0.000000,0.000000
22468,5957,OAK ST,OAKRIDGE,OAK ST,5900,ODD,N,1,3.00,20130124,3,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.231644,-123.12828
24810,5925,LAUREL ST,OAKRIDGE,LAUREL ST,5900,ODD,N,1,3.00,20120314,N,N,Y, ,ACER,GINNALA,AMUR MAPLE,49.231858,-123.12531
25848,875,W 42ND AV,OAKRIDGE,W 42ND AV,800,ODD,N,1,3.00,20111212,N,N,Y, ,ACER,GRISEUM,PAPERBARK MAPLE,49.232933,-123.12516
