TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
624,6,W 27TH AV,RILEY PARK,ONTARIO ST,4300,ODD,N,1,3.00,20050330,8,N,Y, ,MANGLIETIA,INSIGNIS,MANGLETIA,49.246731,-123.10516
549,5125,KERSLAND DRIVE,RILEY PARK,KERSLAND DRIVE,5100,ODD,N,1,3.00,20091112,N,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE,49.239431,-123.11524
1780,481,E 38TH AV,RILEY PARK,E 38TH AV,400,ODD,N,3,18.00,20171119,L,N,N, ,CEDRUS,DEODARA,DEODAR CEDAR,49.236291,-123.09415
1812,481,E 38TH AV,RILEY PARK,E 38TH AV,400,ODD,N,2,7.00,20171119,L,N,Y, ,PINUS,SPECIES,PINE SPECIES,49.236343,-123.09415
1814,481,E 38TH AV,RILEY PARK,E 38TH AV,400,ODD,N,2,10.00,20171119, ,N,Y,CRIMSON KING,ACER,PLATANOIDES,CRIMSON KING NORWAY MAPLE,49.236398,-123.09415
1835,481,E 38TH AV,RILEY PARK,E 38TH AV,400,ODD,N,2,6.00,20171119, ,N,Y, ,PICEA,GLAUCA,WHITE SPRUCE,49.236428,-123.09415
2307,404,E 21ST AV,RILEY PARK,E 21ST AV,400,EVEN,N,5,24.00,20171119,L,N,N, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST,49.251588,-123.09649
2731,4399,QUEBEC ST,RILEY PARK,E 28TH AV,100,ODD,N,1,2.00,20171119,10,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR,49.246057,-123.10262
651,3350,MANITOBA ST,RILEY PARK,MANITOBA ST,3300,EVEN,N,1,3.00,20090226,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM,49.255098,-123.10708
655,4298,MAIN ST,RILEY PARK,MAIN ST,4200,EVEN,N,1,3.00,20081103,c,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD,49.246622,-123.10107
662,546,E 20TH AV,RILEY PARK,E 20TH AV,500,EVEN,N,1,3.00,20050120,7,Y,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD,49.252812,-123.09285
