TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
592,1799,W KING EDWARD AV,SHAUGHNESSY,W KING EDWARD AV,1700,MED,N,1,3.00,20100104,30,N,Y, ,ABIES,GRANDIS,GRAND FIR,49.249525,-123.14573
716,1925,W KING EDWARD AV,SHAUGHNESSY,W KING EDWARD AV,1900,ODD,N,1,3.00,20171119,8,N,Y, ,STYRAX,JAPONICA,JAPANESE SNOWBELL,49.250031,-123.14953
1596,1228,W 38TH AV,SHAUGHNESSY,W 38TH AV,1200,EVEN,N,2,5.00,20171119,N,N,Y, ,GLEDITSIA,TRIACANTHOS,HONEYLOCUST,49.236868,-123.13338
2110,1037,W KING EDWARD AV,SHAUGHNESSY,W KING EDWARD AV,1000,MED,N,1,3.00,20091221,30,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR,49.249253,-123.12871
720,1708,W 40TH AV,SHAUGHNESSY,MARGUERITE ST,5600,ODD,N,1,3.00,20090216,10,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE,49.235607,-123.14475
585,1570,BALFOUR AV,SHAUGHNESSY,BALFOUR AV,1500,EVEN,N,1,3.00,20090204,8,Y,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE,49.251780,-123.14055
948,4669,OSLER ST,SHAUGHNESSY,OSLER ST,4600,ODD,N,3,5.00,20171119,8,N,Y, ,CRATAEGUS,OXYACANTHA,ENGLISH HAWTHORN,49.244008,-123.13009
4374,4361,ANGUS DRIVE,SHAUGHNESSY,ANGUS DRIVE,4300,ODD,N,2,10.50,20171119,10,N,Y,AKEBONO,PRUNUS,X YEDOENSIS,AKEBONO FLOWERING CHERRY,49.246942,-123.14616
4409,1168,W 39TH AV,SHAUGHNESSY,W 39TH AV,1100,EVEN,N,2,5.00,20171119,N,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD,0.000000,0.000000
4458,1168,W 39TH AV,SHAUGHNESSY,W 39TH AV,1100,EVEN,N,2,6.00,20171119,N,N,Y, ,ILEX,AQUIFOLIUM,ENGLISH HOLLY,49.235864,-123.13167
