TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
1459,708,W 26TH AV,SOUTH CAMBIE,W 26TH AV,700,MED,N,2,5.00,20171119,C,N,Y, ,BETULA,JACQUEMONTII,WHITE HIMALAYAN BIRCH,49.248034,-123.12041
1933,716,W 22ND AV,SOUTH CAMBIE,W 22ND AV,700,EVEN,N,4,19.00,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.251483,-123.12094
2454,716,W 22ND AV,SOUTH CAMBIE,W 22ND AV,700,EVEN,N,4,14.50,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.251499,-123.12094
1870,681,W 17TH AV,SOUTH CAMBIE,W 17TH AV,600,ODD,N,4,28.00,20171119,L,N,N, ,ACER,PLATANOIDES,NORWAY MAPLE,49.256428,-123.11939
1876,726,W 16TH AV,SOUTH CAMBIE,W 16TH AV,700,EVEN,N,4,17.00,20171119,L,N,N, ,ULMUS,AMERICANA,AMERICAN ELM,0.000000,0.000000
1905,3819,HEATHER ST,SOUTH CAMBIE,HEATHER ST,3800,ODD,N,2,5.00,20171119,3,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH,49.251405,-123.12093
1671,611,W 41ST AV,SOUTH CAMBIE,W 41ST AV,600,ODD,N,1,3.00,20171119,4,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.233763,-123.11918
1707,809,W 24TH AV,SOUTH CAMBIE,W 24TH AV,800,ODD,N,5,30.00,20171119,L,N,N, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT,49.250209,-123.12289
1709,912,W 23RD AV,SOUTH CAMBIE,W 23RD AV,900,EVEN,N,4,20.00,20171119,L,N,N, ,JUGLANS,NIGRA,BLACK WALNUT,49.250503,-123.12529
334,4577,CAMBIE ST,SOUTH CAMBIE,CAMBIE ST,4500,MED,N,1,3.00,20091116,35,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.243981,-123.11677
336,4711,CAMBIE ST,SOUTH CAMBIE,CAMBIE ST,4700,MED,N,1,3.00,20090420,35,N,Y, ,ACER,GRISEUM,PAPERBARK MAPLE,49.242948,-123.11816
344,4905,CAMBIE ST,SOUTH CAMBIE,CAMBIE ST,4900,MED,N,1,3.25,20091209,35,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD ,49.240664,-123.11838
345,5009,CAMBIE ST,SOUTH CAMBIE,CAMBIE ST,5000,MED,N,1,3.00,20110106,35,N,Y, ,PINUS,PONDEROSA,PONDEROSA PINE,49.239775,-123.11756
4256,9950,OAK ST,SOUTH CAMBIE,W 17TH AV,900,EVEN,N,1,5.00,20081028,9,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE,0.000000,0.000000
8886,4575,ASH ST,SOUTH CAMBIE,ASH ST,4500,ODD,N,1,7.00,20171119,B,N,Y, ,ILEX,AQUIFOLIUM,ENGLISH HOLLY,49.244589,-123.11870
14843,618,W 32ND AV,SOUTH CAMBIE,CAMBIE ST,4800,MED,N,1,3.00,20091202,30,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR,49.242008,-123.11841
