TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
551,219,UNION ST,STRATHCONA,UNION ST,200,ODD,N,3,4.50,20171119,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD,49.277719,-123.09896
856,906,MAIN ST,STRATHCONA,PRIOR ST,200,EVEN,N,1,3.00,20090218,C,Y,Y,CARDINAL ROYAL,SORBUS,AUCUPARIA,CARDINAL ROYAL MOUNTAIN ASH,49.276699,-123.09950
2649,219,UNION ST,STRATHCONA,UNION ST,200,ODD,N,3,4.50,20171119,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD,49.277715,-123.09880
2650,227,UNION ST,STRATHCONA,UNION ST,200,ODD,N,3,4.50,20171119,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD,49.277713,-123.09867
466,231,UNION ST,STRATHCONA,UNION ST,200,ODD,N,3,4.50,20171119,3,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD,49.277713,-123.09857
467,237,UNION ST,STRATHCONA,UNION ST,200,ODD,N,3,4.50,20171119,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD,49.277709,-123.09840
702,243,UNION ST,STRATHCONA,UNION ST,200,ODD,N,3,4.50,20171119,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD,49.277708,-123.09829
1133,350,E 2ND AV,STRATHCONA,E 2ND AV,300,EVEN,N,4,21.00,20171119,3,N,Y, ,ULMUS,AMERICANA,AMERICAN ELM,0.000000,0.000000
753,425,INDUSTRIAL AV,STRATHCONA,INDUSTRIAL AV,400,ODD,N,1,3.00,20171119,B,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.269509,-123.09542
754,435,INDUSTRIAL AV,STRATHCONA,INDUSTRIAL AV,400,ODD,N,1,3.00,20171119,4,N,Y,SATOMI,CORNUS,KOUSA,PINK KOUSA DOGWOOD ,49.269438,-123.09498
