TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
631,6121,INVERNESS ST,SUNSET,INVERNESS ST,6100,ODD,Y,1,3.00,20081113,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.228716,-123.08003
572,5954,CHESTER ST,SUNSET,CHESTER ST,5900,EVEN,N,1,3.00,20081110,7,N,Y,DAWYCKII GOLD,FAGUS,SYLVATICA,GOLDEN DAWYCK BEECH,49.230483,-123.08915
1579,1196,E 57TH AV,SUNSET,E 57TH AV,1100,EVEN,Y,5,29.00,20171119,B,N,Y, ,QUERCUS,COCCINEA,SCARLET OAK,49.218085,-123.08173
1580,7339,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,ODD,Y,5,22.50,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.216786,-123.08170
1587,7339,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,ODD,Y,5,22.50,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.216652,-123.08169
1588,7343,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,ODD,Y,5,25.50,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.216894,-123.08169
1592,7357,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,ODD,Y,5,18.00,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.216994,-123.08169
1593,7381,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,ODD,Y,5,20.00,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217117,-123.08169
1595,7397,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,ODD,Y,5,18.75,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217213,-123.08169
1607,7413,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7400,ODD,Y,5,19.00,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217301,-123.08169
1608,7425,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7400,ODD,Y,5,19.75,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217428,-123.08168
1609,7437,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7400,ODD,Y,5,15.00,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217537,-123.08169
1610,7447,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7400,ODD,Y,5,15.50,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217669,-123.08169
1612,7453,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7400,ODD,Y,5,9.75,20171119,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE,49.217858,-123.08168
1619,7338,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,EVEN,N,1,3.00,20050215,8,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.217894,-123.08150
896,1355,E 43RD AV,SUNSET,E 43RD AV,1300,ODD,N,1,3.00,20090318,8,N,Y,RANCHO,PRUNUS,SARGENTII,RANCHO SARGENT CHERRY,49.230777,-123.07825
898,1355,E 43RD AV,SUNSET,E 43RD AV,1300,ODD,N,1,3.00,20090318,8,Y,Y,RANCHO,PRUNUS,SARGENTII,RANCHO SARGENT CHERRY,49.230754,-123.07791
1626,7486,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7400,EVEN,N,1,7.50,20050215,8,Y,Y,WORPLESDON,LIQUIDAMBAR,STYRACIFLUA,WORPLESDON SWEETGUM,49.216679,-123.08152
733,136,E 44TH AV,SUNSET,E 44TH AV,100,EVEN,N,1,3.00,20171119,12,N,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE,49.230258,-123.10296
742,198,E 57TH AV,SUNSET,E 57TH AV,100,EVEN,N,1,3.00,20171119,B,N,Y,RANCHO,PRUNUS,SARGENTII,RANCHO SARGENT CHERRY,49.218377,-123.10220
1631,7338,SHERBROOKE ST,SUNSET,SHERBROOKE ST,7300,EVEN,N,1,7.50,20050215,8,Y,Y,WORPLESDON,LIQUIDAMBAR,STYRACIFLUA,WORPLESDON SWEETGUM,49.217805,-123.08151
2969,501,SE MARINE DRIVE,SUNSET,SE MARINE DRIVE,500,MED,Y,3,17.75,20171119,8,N,Y, ,ZELKOVA,SERRATA,JAPANESE ZELKOVA,49.211032,-123.09344
925,776,E 55TH AV,SUNSET,E 55TH AV,700,EVEN,N,1,3.00,20090420,8,N,Y,TOBA,CRATAEGUS,MORDENSIS,TOBA HAWTHORN,49.219878,-123.08838
5810,508,E 45TH AV,SUNSET,E 45TH AV,500,EVEN,N,1,3.00,20080407,11,Y,Y, ,HIBISCUS,SYRIACA,ROSE OF SHARON,49.229178,-123.09375
6776,1337,E 45TH AV,SUNSET,E 45TH AV,1300,ODD,N,1,3.00,20081212,9,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.229092,-123.07875
6912,1200,E 47TH AV,SUNSET,E 47TH AV,1200,EVEN,N,4,25.00,20171119,B,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR,0.000000,0.000000
6978,1195,E 57TH AV,SUNSET,SHERBROOKE ST,7200,ODD,N,4,12.00,20171119,N,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR,49.218412,-123.08168
10041,6559,KNIGHT ST,SUNSET,KNIGHT ST,6500,ODD,N,1,3.00,20081023,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224614,-123.07748
7859,168,E 44TH AV,SUNSET,E 44TH AV,100,EVEN,N,1,3.00,20100304,8,N,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE,49.230242,-123.10239
10001,6625,KNIGHT ST,SUNSET,KNIGHT ST,6600,ODD,N,1,3.00,20081022,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224078,-123.07747
10003,6615,KNIGHT ST,SUNSET,KNIGHT ST,6600,ODD,N,1,3.00,20081022,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224164,-123.07747
10004,6603,KNIGHT ST,SUNSET,KNIGHT ST,6600,ODD,N,1,3.00,20081022,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224267,-123.07748
10005,6595,KNIGHT ST,SUNSET,KNIGHT ST,6500,ODD,N,1,3.00,20081022,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224344,-123.07747
10031,6571,KNIGHT ST,SUNSET,KNIGHT ST,6500,ODD,N,1,3.00,20081023,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224531,-123.07748
10837,1250,E 45TH AV,SUNSET,E 45TH AV,1200,EVEN,N,1,3.00,20090311,3,Y,Y,TOBA,CRATAEGUS,MORDENSIS,TOBA HAWTHORN,49.229003,-123.08066
10849,1250,E 45TH AV,SUNSET,E 45TH AV,1200,EVEN,N,1,3.00,20090225,3,Y,Y,TOBA,CRATAEGUS,MORDENSIS,TOBA HAWTHORN,49.229003,-123.08080
10877,6525,WINDSOR ST,SUNSET,WINDSOR ST,6500,ODD,N,1,3.00,20081210,N,N,Y,YELLOW BIRD,MAGNOLIA,XX,MAGNOLIA 'YELLOW BIRD' ,49.225128,-123.08533
10184,6553,KNIGHT ST,SUNSET,KNIGHT ST,6500,ODD,N,1,3.00,20081023,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224711,-123.07748
10189,6549,KNIGHT ST,SUNSET,KNIGHT ST,6500,ODD,N,1,3.00,20081023,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.224792,-123.07748
12342,6396,ONTARIO ST,SUNSET,E 48TH AV,0,ODD,N,1,3.00,20100311,10,N,Y, ,CELTIS,OCCIDENTALIS,COMMON HACKBERRY,49.226794,-123.10568
14528,483,SE MARINE DRIVE,SUNSET,SE MARINE DRIVE,400,ODD,N,1,2.50,20090216,4,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.211147,-123.09475
14529,495,SE MARINE DRIVE,SUNSET,SE MARINE DRIVE,400,ODD,N,1,1.75,20090216,4,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.211144,-123.09462
14530,8180,ST. GEORGE ST,SUNSET,SE MARINE DRIVE,500,ODD,N,2,4.00,20090218,5,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.211139,-123.09408
14534,8181,POPLAR ST,SUNSET,SE MARINE DRIVE,500,ODD,N,2,4.00,20090218,5,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM,49.211142,-123.09377
14948,807,E 51ST AV,SUNSET,PRINCE ALBERT ST,6600,EVEN,N,1,3.00,20090224,6,N,Y,DAWYCKII GOLD,FAGUS,SYLVATICA,GOLDEN DAWYCK BEECH,49.223667,-123.08796
11508,8298,ST. GEORGE ST,SUNSET,ST. GEORGE ST,8200,EVEN,N,1,3.00,20120117,3,N,Y,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.209633,-123.09394
11511,8336,ST. GEORGE ST,SUNSET,ST. GEORGE ST,8300,EVEN,N,1,3.00,20120118,3,N,Y,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.208994,-123.09396
18588,400,SE MARINE DRIVE,SUNSET,PRINCE EDWARD ST,8300,EVEN,N,2,8.00,20171119,N,N,Y,COLUMNARE,ACER,PLATANOIDES,COLUMNAR NORWAY MAPLE,49.210511,-123.09829
18594,400,SE MARINE DRIVE,SUNSET,PRINCE EDWARD ST,8300,EVEN,N,2,6.00,20171119,N,N,Y,COLUMNARE,ACER,PLATANOIDES,COLUMNAR NORWAY MAPLE,49.210439,-123.09829
16813,8362,ST. GEORGE ST,SUNSET,ST. GEORGE ST,8300,EVEN,N,1,3.00,20120119,3,N,Y,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.208528,-123.09397
19126,5892,ROSS ST,SUNSET,ROSS ST,5800,EVEN,N,1,3.00,20120229,N,N,Y,BRANDON,ULMUS,AMERICANA,BRANDON ELM,49.231172,-123.08252
18119,5864,ROSS ST,SUNSET,ROSS ST,5800,EVEN,N,1,3.00,20120307,N,N,Y,BRANDON,ULMUS,AMERICANA,BRANDON ELM,49.231331,-123.08252
16205,8346,ST. GEORGE ST,SUNSET,ST. GEORGE ST,8300,EVEN,N,1,3.00,20120118,3,N,Y,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE,49.208878,-123.09396
