TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
616,1713,E 55TH AV,VICTORIA-FRASERVIEW,E 55TH AV,1700,ODD,Y,1,3.00,20090324,12,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST,49.220002,-123.07147
619,2259,E 55TH AV,VICTORIA-FRASERVIEW,E 55TH AV,2200,ODD,N,1,3.00,20090324,10,N,Y,ARIE PETERS,FRAXINUS,ORNUS,FLOWERING ASH,49.219439,-123.06140
620,2271,E 55TH AV,VICTORIA-FRASERVIEW,E 55TH AV,2200,ODD,N,1,3.00,20090402,10,Y,Y,OCTOBER GLORY,ACER,RUBRUM,OCTOBER GLORY RED MAPLE,49.219436,-123.06124
629,2737,E 57TH AV,VICTORIA-FRASERVIEW,VIVIAN DRIVE,7200,ODD,N,1,3.00,20050215,15,N,Y,SATOMI,CORNUS,KOUSA,PINK KOUSA DOGWOOD ,49.218229,-123.05064
1556,2068,E 49TH AV,VICTORIA-FRASERVIEW,E 49TH AV,2000,EVEN,N,3,22.00,20171119,B,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY,49.225054,-123.06447
712,5858,WALES ST,VICTORIA-FRASERVIEW,WALES ST,5800,EVEN,N,1,3.00,20171119,4,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC,49.230608,-123.05154
1000,1766,E 49TH AV,VICTORIA-FRASERVIEW,E 49TH AV,1700,EVEN,Y,5,34.00,20171119,B,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,49.225105,-123.06953
656,2708,E 52ND AV,VICTORIA-FRASERVIEW,E 52ND AV,2700,EVEN,N,2,3.00,20050209,8,N,Y,ELWOODII,ACER,PLATANOIDES,ELWOOD NORWAY MAPLE,49.221878,-123.05236
664,1758,E 49TH AV,VICTORIA-FRASERVIEW,E 49TH AV,1700,EVEN,Y,5,31.00,20171119,B,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK,49.225112,-123.06978
756,2722,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,2700,EVEN,N,1,3.00,20171119,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE,49.232720,-123.05081
2556,1988,E 43RD AV,VICTORIA-FRASERVIEW,E 43RD AV,1900,EVEN,N,1,3.00,20130315,3,N,N,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD,49.230441,-123.06597
1037,1787,E 57TH AV,VICTORIA-FRASERVIEW,E 57TH AV,1700,ODD,N,2,8.00,20171119,B,N,Y, ,CHAMAECYPARIS,PISIFERA,SAWARA FALSECYPRESS,49.218408,-123.07083
161,1850,ISLAND AV,VICTORIA-FRASERVIEW,ISLAND AV,1800,EVEN,N,4,13.00,20171119,3,N,Y,BERGESON,FRAXINUS,PENNSYLVANICA,BERGESON ASH,0.000000,0.000000
162,1710,ISLAND AV,VICTORIA-FRASERVIEW,ISLAND AV,1700,EVEN,N,2,7.50,20171119,3,N,Y, ,PRUNUS,SERRULATA,JAPANESE FLOWERING CHERRY ,0.000000,0.000000
5233,2707,E 52ND AV,VICTORIA-FRASERVIEW,E 52ND AV,2700,ODD,N,2,3.00,20050209,8,N,Y,ELWOODII,ACER,PLATANOIDES,ELWOOD NORWAY MAPLE,49.221978,-123.05230
3522,2763,E 52ND AV,VICTORIA-FRASERVIEW,E 52ND AV,2700,ODD,N,2,3.00,20050209,8,N,Y,ELWOODII,ACER,PLATANOIDES,ELWOOD NORWAY MAPLE,49.221956,-123.05140
6430,1534,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1500,EVEN,N,1,3.00,20081204,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232564,-123.07387
6431,1548,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1500,EVEN,N,1,3.00,20081204,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232564,-123.07371
6432,1560,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1500,EVEN,N,1,3.00,20081204,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232564,-123.07352
6434,1572,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1500,EVEN,N,1,3.00,20081205,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232561,-123.07339
6435,1588,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1500,EVEN,N,1,3.00,20081205,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232561,-123.07323
6448,1634,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1600,EVEN,N,1,3.00,20081205,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232542,-123.07170
6449,1634,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1600,EVEN,N,1,3.00,20081205,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232544,-123.07188
6453,1634,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1600,EVEN,N,1,3.00,20081205,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232547,-123.07209
6455,1634,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1600,EVEN,N,1,3.00,20081205,B,Y,Y,EMERALD QUEEN,ACER,PLATANOIDES,EMERALD QUEEN NORWAY MAPLE,49.232550,-123.07227
6460,1702,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1700,EVEN,N,1,3.00,20081205,B,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE,49.232536,-123.07133
6462,1708,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1700,EVEN,N,1,3.00,20081205,B,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE,49.232533,-123.07118
6464,1722,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1700,EVEN,N,1,3.00,20081205,B,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE,49.232531,-123.07090
6465,1728,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1700,EVEN,N,1,3.00,20081205,B,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE,49.232528,-123.07076
6467,1740,E 41ST AV,VICTORIA-FRASERVIEW,E 41ST AV,1700,EVEN,N,1,3.00,20081208,B,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE,49.232528,-123.07048
3353,2742,E 52ND AV,VICTORIA-FRASERVIEW,E 52ND AV,2700,EVEN,N,2,5.75,20050209,8,N,Y,ELWOODII,ACER,PLATANOIDES,ELWOOD NORWAY MAPLE,49.221865,-123.05203
4435,1710,ISLAND AV,VICTORIA-FRASERVIEW,ISLAND AV,1700,EVEN,N,1,2.50,20171119,3,N,Y,BERGESON,FRAXINUS,PENNSYLVANICA,BERGESON ASH,0.000000,0.000000
