TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
1464,1003,BURNABY ST,WEST END,BURRARD ST,1200,ODD,N,1,7.00,20171119,C,N,Y, ,ACER,RUBRUM,RED MAPLE,49.278597,-123.13012
579,855,BURRARD ST,WEST END,BURRARD ST,800,ODD,N,1,3.00,20081203,C,Y,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE,49.282503,-123.12422
647,1260,NELSON ST,WEST END,JERVIS ST,1000,EVEN,N,1,3.00,20081208,8,Y,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE,49.284602,-123.13211
2569,1157,DAVIE ST,WEST END,DAVIE ST,1100,ODD,N,5,38.00,20171119,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD,49.281649,-123.13217
2571,1155,DAVIE ST,WEST END,DAVIE ST,1100,ODD,N,4,26.00,20171119,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD,49.281546,-123.13201
2582,1155,DAVIE ST,WEST END,DAVIE ST,1100,ODD,N,2,5.00,20171119,L,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH,0.000000,0.000000
2589,1155,DAVIE ST,WEST END,DAVIE ST,1100,ODD,N,2,5.00,20171119,L,N,N, ,MALUS,SPECIES,APPLE SPECIES,0.000000,0.000000
2608,1151,DAVIE ST,WEST END,DAVIE ST,1100,ODD,N,2,19.00,20171119,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD,49.281524,-123.13198
4148,1691,HARWOOD ST,WEST END,BIDWELL ST,1300,EVEN,N,2,12.00,20171119,7,N,Y, ,ULMUS,AMERICANA,AMERICAN ELM,49.284871,-123.14219
8303,751,DENMAN ST,WEST END,DENMAN ST,700,ODD,N,4,14.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,0.000000,0.000000
8305,751,DENMAN ST,WEST END,DENMAN ST,700,ODD,N,4,10.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.292000,-123.13504
6698,845,BUTE ST,WEST END,BUTE ST,800,ODD,N,5,19.00,20171119,B,N,Y, ,PINUS,SYLVESTRIS,SCOTCH PINE,49.285661,-123.12765
6697,845,BUTE ST,WEST END,BUTE ST,800,ODD,N,5,16.00,20171119,B,N,Y, ,PINUS,SYLVESTRIS,SCOTCH PINE,49.285642,-123.12768
4326,1675,HARWOOD ST,WEST END,HARWOOD ST,1600,ODD,N,4,9.00,20171119,6,N,Y,FASTIGIATA,QUERCUS,ROBUR,PYRAMIDAL ENGLISH OAK,49.284647,-123.14197
4327,1609,HARWOOD ST,WEST END,HARWOOD ST,1600,ODD,N,4,13.25,20171119,6,N,Y,FASTIGIATA,QUERCUS,ROBUR,PYRAMIDAL ENGLISH OAK,49.284129,-123.14117
4328,1609,HARWOOD ST,WEST END,HARWOOD ST,1600,ODD,N,2,0.50,20171119,6,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK,49.284044,-123.14104
8241,1095,JERVIS ST,WEST END,JERVIS ST,1000,ODD,N,4,14.00,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.283988,-123.13346
8233,1095,JERVIS ST,WEST END,JERVIS ST,1000,ODD,N,2,5.00,20171119,L,N,N, ,CORNUS,SPECIES,DOGWOOD SPECIES,49.284025,-123.13351
8246,1095,JERVIS ST,WEST END,JERVIS ST,1000,ODD,N,4,14.00,20171119,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR,49.283972,-123.13343
8247,1095,JERVIS ST,WEST END,JERVIS ST,1000,ODD,N,2,5.00,20171119,L,N,N, ,CORNUS,SPECIES,DOGWOOD SPECIES,49.283948,-123.13340
8252,1350,COMOX ST,WEST END,COMOX ST,1300,EVEN,N,1,11.50,20171119,L,N,N, ,PINUS,SPECIES,PINE SPECIES,49.284126,-123.13368
8256,710,CHILCO ST,WEST END,CHILCO ST,700,EVEN,N,1,10.00,20171119,L,N,N, ,FRAXINUS,SPECIES,ASH SPECIES,49.293639,-123.13780
8259,1830,ALBERNI ST,WEST END,ALBERNI ST,1800,EVEN,N,3,24.00,20171119,L,N,N, ,POPULUS,TRICHOCARPA,BLACK COTTONWOOD,0.000000,0.000000
8292,751,DENMAN ST,WEST END,DENMAN ST,700,ODD,N,4,10.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.292092,-123.13519
8297,751,DENMAN ST,WEST END,DENMAN ST,700,ODD,N,4,12.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.292069,-123.13515
8378,751,DENMAN ST,WEST END,DENMAN ST,700,ODD,N,4,14.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.291978,-123.13501
8379,1550,ALBERNI ST,WEST END,ALBERNI ST,1500,EVEN,N,5,20.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.289728,-123.13158
8380,1550,ALBERNI ST,WEST END,ALBERNI ST,1500,EVEN,N,5,15.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.289694,-123.13153
8381,1550,ALBERNI ST,WEST END,ALBERNI ST,1500,EVEN,N,5,15.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.289658,-123.13147
8382,1550,ALBERNI ST,WEST END,ALBERNI ST,1500,EVEN,N,4,12.00,20171119,L,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM,49.289619,-123.13141
