TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME,LATITUDE,LONGITUDE
589,4694,W 8TH AV,WEST POINT GREY,BLANCA ST,2400,EVEN,N,5,32.00,20171119,B,N,Y, ,ALNUS,RUGOSA,SPECKLED ALDER,49.265320,-123.21500
2180,4786,W 2ND AV,WEST POINT GREY,W 2ND AV,4700,EVEN,N,2,7.00,20171119,N,N,N, ,RHUS,TYPHINA,STAGHORN SUMAC,49.271280,-123.21969
1909,3707,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,ODD,N,4,24.00,20171119,10,N,Y, ,BETULA,NIGRA,RIVER BIRCH,49.270470,-123.18592
1910,3707,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,ODD,N,5,22.00,20171119,10,N,Y, ,BETULA,NIGRA,RIVER BIRCH,49.270470,-123.18586
1915,3708,W 2ND AV,WEST POINT GREY,ALMA ST,1800,ODD,N,3,16.00,20171119,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM,49.270260,-123.18573
1917,3732,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,EVEN,N,2,14.00,20171119,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270370,-123.18616
1920,3738,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,EVEN,N,3,14.00,20171119,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270370,-123.18657
1922,3755,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,ODD,N,3,10.00,20171119,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270480,-123.18657
1925,3768,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,EVEN,N,3,18.00,20171119,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270380,-123.18699
1928,3791,W 2ND AV,WEST POINT GREY,W 2ND AV,3700,ODD,N,3,12.25,20171119,N,N,Y, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270490,-123.18738
1943,3805,W 2ND AV,WEST POINT GREY,HIGHBURY ST,1700,ODD,N,5,24.00,20171119,10,N,N,PLENA,PRUNUS,AVIUM,WILD CHERRY ,49.270560,-123.18762
1946,3805,W 2ND AV,WEST POINT GREY,HIGHBURY ST,1700,ODD,N,5,20.00,20171119,10,N,N,PLENA,PRUNUS,AVIUM,WILD CHERRY ,49.270680,-123.18761
1947,3805,W 2ND AV,WEST POINT GREY,HIGHBURY ST,1700,ODD,N,5,22.50,20171119,10,N,N,PLENA,PRUNUS,AVIUM,WILD CHERRY ,49.270800,-123.18761
1950,3808,W 2ND AV,WEST POINT GREY,HIGHBURY ST,1800,ODD,N,4,24.00,20171119,10,N,N, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY,49.270070,-123.18764
1952,3808,W 2ND AV,WEST POINT GREY,HIGHBURY ST,1800,ODD,N,4,30.00,20171119,10,N,N, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY,49.270190,-123.18763
1957,3816,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,EVEN,N,3,14.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270390,-123.18793
1958,3817,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,ODD,N,3,14.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270510,-123.18830
1962,3822,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,EVEN,N,3,12.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270400,-123.18830
1963,3831,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,ODD,N,2,4.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270510,-123.18869
1965,3838,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,EVEN,N,3,18.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270410,-123.18870
1968,3847,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,ODD,N,3,14.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270520,-123.18907
1969,3852,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,EVEN,N,3,13.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270420,-123.18907
1970,3853,W 2ND AV,WEST POINT GREY,W 2ND AV,3800,ODD,N,3,18.00,20171119,10,N,N, ,MALUS,FLORIBUNDA,JAPANESE FLOWERING CRABAPPLE,49.270520,-123.18923
1971,3853,W 2ND AV,WEST POINT GREY,WALLACE ST,1700,EVEN,N,3,15.00,20171119,N,N,N, ,TSUGA,HETEROPHYLLA,WESTERN HEMLOCK,49.270880,-123.18935
