MAPID,NEIGHBOURHOOD_NAME,NEIGHBOURHOOD_CODE
WPG,WEST POINT GREY,1
KITS,KITSILANO,2
DS,DUNBAR-SOUTHLANDS,3
AR,ARBUTUS-RIDGE,4
KERR,KERRISDALE,5
KERR,KERRISDALE,6
FAIR,FAIRVIEW,7
SHAU,SHAUGHNESSY,8
SC,SOUTH CAMBIE,9
OAK,OAKRIDGE,10
OAK,OAKRIDGE,11
MARP,MARPOLE,12
MP,MOUNT PLEASANT,13
STR,STRATHCONA,14
GW,GRANDVIEW-WOODLAND,15
RP,RILEY PARK,16
VF,VICTORIA-FRASERVIEW,17
SUN,SUNSET,18
KC,KENSINGTON-CEDAR COTTAGE,19
HS,HASTINGS-SUNRISE,20
HS,HASTINGS-SUNRISE,21
RC,RENFREW-COLLINGWOOD,22
RC,RENFREW-COLLINGWOOD,23
KIL,KILLARNEY,24
VF,VICTORIA-FRASERVIEW,25
WE,WEST END,26
CBD,DOWNTOWN,27
CBD,DOWNTOWN,28
CBD,DOWNTOWN,29
CBD,DOWNTOWN,30
