COMMON_NAME,count
KWANZAN FLOWERING CHERRY,9517
PISSARD PLUM,8335
NORWAY MAPLE,5152
CRIMEAN LINDEN,3911
NIGHT PURPLE LEAF PLUM,2881
PYRAMIDAL EUROPEAN HORNBEAM,2797
RED MAPLE,2355
KOBUS MAGNOLIA ,2263
COMMON HORSECHESTNUT,2042
AKEBONO FLOWERING CHERRY,1965
BOWHALL RED MAPLE,1956
HEDGE MAPLE,1933
AMERICAN ELM,1691
KATSURA TREE,1648
SYCAMORE MAPLE,1620
COLUMNAR NORWAY MAPLE,1584
ARMSTRONG RED MAPLE,1580
JAPANESE FLOWERING CRABAPPLE,1558
EUROPEAN BEECH,1546
REDBUD CRABAPPLE,1437
PACIFIC SUNSET MAPLE,1407
AUTUMN APPLAUSE ASH,1336
RED OAK,1286
GLOBEHEAD NORWAY MAPLE,1203
EUROPEAN WHITE BIRCH,1194
PIN OAK,1191
LAVALLEI HYBRID HAWTHORN,1127
FLOWERING ASH,1110
WORPLESDON SWEETGUM,1069
EUROPEAN HORNBEAM,1057
CHANTICLEER PEAR,1055
TREE LILAC,1024
LONDON PLANE TREE,992
JAPANESE SNOWBELL,981
QUEEN ELIZABETH MAPLE,903
ENGLISH OAK,893
BASSWOOD,843
LITTLE-LEAF LINDEN,835
UKON JAPANESE CHERRY,794
DAWYCK'S BEECH,789
WESTERN RED CEDAR,770
AUTUMN BLAZE RED MAPLE,763
EUROPEAN ASH,739
RED SUNSET RED MAPLE,695
THORNLESS HONEYLOCUST,686
PERSIAN IRONWOOD,660
AUTUMN FLAME RED MAPLE,623
ENGLISH HAWTHORN,618
PATMORE ASH,605
GOLDEN DAWYCK BEECH,601
FREEMAN'S S.S. MAPLE,593
EMERALD QUEEN NORWAY MAPLE,578
DOUGLAS FIR,564
OCTOBER GLORY RED MAPLE,562
MAZZARD CHERRY,547
VANESSA PERSIAN IRONWOOD,540
BLOODGOOD PLANE TREE,534
PRINCETON GOLD MAPLE,531
TULIPTREE,527
ARISTOCRAT PEAR,522
RAYWOOD ASH,520
PINK PERFECTION CHERRY,499
MORGAN RED MAPLE,485
JAPANESE DOGWOOD,433
RANCHO SARGENT CHERRY,426
SAWTOOTH OAK,425
JAPANESE FLOWERING CHERRY ,417
WASHINGTON HAWTHORN,415
GOLDEN WHITEBEAM,412
PACIFIC DOGWOOD,402
WHITE ASH,402
AMERICAN SWEETGUM,394
OSAKAZUKI JAPANESE MAPLE,390
TOBA HAWTHORN,390
BRANDON ELM,381
CARDINAL ROYAL MOUNTAIN ASH,370
EDDIES WHITE WONDER DOGWOOD ,354
COMMON CATALPA,352
LAWSON CYPRESS/PORT ORFORD CED,352
SCHWEDLER NORWAY MAPLE,345
PYRAMIDAL ENGLISH OAK,342
EASTERN REDBUD,335
BIGLEAF MAPLE,333
DAWN REDWOOD,330
PAPERBARK MAPLE,321
SCARLET OAK,321
SUMMIT ASH,314
MAGNOLIA 'GALAXY' ,302
SILVER VARIEGATED NORWAY MAPLE,294
JAPANESE MAPLE,283
WILLOW OAK,279
CRIMSON KING NORWAY MAPLE,277
BERGESON ASH,272
SHIROFUGEN CHERRY,270
SILVER MAPLE,269
AMUR MAPLE,268
TUPELO,262
FRANZ FONTAINE HORNBEAM,254
SCOTS ELM ,252
COMMON APPLE,241
KARPICK RED MAPLE,241
BLACK LOCUST,237
SHADEMASTER HONEYLOCUST,237
CAUCASIAN ASH,233
THORNLESS COCKSPUR HAWTHORN,232
PURPLE HAZE JAPANESE PLUM,208
SIBERIAN ELM,208
SHIROTAE(MT FUJI) CHERRY,207
SUNBURST HONEYLOCUST,202
SNOWBIRD HAWTHORN ,201
SCHUBERT CHOKECHERRY ,198
SCOTCH PINE,196
RED CAUCASIAN MAPLE,195
COMMON HACKBERRY,194
SUPERFORM NORWAY MAPLE,191
DEODAR CEDAR,186
ARNOLD TULIPTREE,185
GINKGO OR MAIDENHAIR TREE,183
AUSTRIAN PINE,182
DEBORAH NORWAY MAPLE,181
AMERICAN HORNBEAM,179
RUBY RED HORSECHESTNUT,178
AUTUMN PURPLE ASH,174
ROSE OF SHARON,173
DOUGLAS HAWTHORN,172
EUROPEAN MOUNTAIN ASH,171
SARGENT FLOWERING CHERRY,171
VILLAGE GREEN ZELKOVA ,169
JAPANESE HORNBEAM,165
PURPLE LEAF SYCAMORE MAPLE,165
BOXELDER,163
CHINESE KOUSA DOGWOOD,162
SEIBOLDI CHERRY,162
JAPANESE STEWARTIA,158
CHINESE TULIPTREE,157
NORTHWOOD RED MAPLE,156
PINK KOUSA DOGWOOD ,156
PYRAMIDAL BEECH,155
BRANDYWINE RED MAPLE,148
ALDERLEAFED MOUNTAIN ASH,147
PURPLE DAWYCK BEECH,147
MODESTO ASH,146
NORWEGIAN SUNSET MAPLE ,146
GREEN ASH,139
CAUCASIAN MAPLE,137
GOLD LEAF BLACK LOCUST,137
JAPANESE ZELKOVA,133
PAPER BIRCH,128
ENGLISH HOLLY,127
MAPLE SPECIES,126
PRAIRIE FIRE CRABAPPLE,123
WESTOFF'S GLORIE EUROPEAN ASH,121
DOVE OR HANDKERCHIEF TREE,120
FLOWERING DOGWOOD,119
VARIEGATED SYCAMORE MAPLE,119
APPLE SERVICEBERRY,118
WHITE BEAM MOUNTAIN ASH,109
COPPER OR PURPLE BEECH,108
HALKA HONEYLOCUST,107
GLOBE HORNBEAM,106
HIGAN CHERRY,106
NOOTKA CYPRESS,105
WESTERN HEMLOCK,104
GIANT SEQUOIA,102
"CHERRY, PLUM OR PEACH SPECIES",101
EUROPEAN LINDEN,99
CALLERY PEAR,98
AUTUMN HIGAN CHERRY,97
DEGROOT LINDEN,97
PAUL'S SCARLET HAWTHORN,97
GREEN PILLAR PIN OAK,96
WEEPING CUTLEAF BIRCH,96
SUGAR MAPLE,94
RED JEWEL CRABAPPLE,93
PANACEK MAPLE,91
NORWAY SPRUCE,90
AMERICAN MOUNTAIN ASH,86
SHORE PINE,86
YULAN MAGNOLIA ,86
CAPITAL PEAR,85
RED SHINE FIELD MAPLE ,85
FAIRVIEW NORWAY MAPLE,83
THUNDERCLOUD PURPLE PLUM,83
ASH SPECIES,82
MAGNOLIA WADA'S MEMORY ,82
GLOBE OR MOPHEAD ACACIA,81
KOREAN MOUNTAIN ASH,81
LITTLE LEAF LINDEN,80
WATERER GOLDENCHAIN TREE ,79
WESTERN CATALPA,78
WHITCOMB CHERRY,77
HONEYLOCUST,74
JAPANESE BEECH,74
YOSHINO CHERRY,74
LEPRECHAUN ASH,73
BIG LEAF LINDEN,72
ENGLISH ELM,72
GREEN COLUMN BLACK MAPLE,72
WILD CHERRY ,72
FRAGRANT SNOWBELL,71
BLACK WALNUT,67
NORTHERN WHITE CEDAR,67
ALLGOLD EUROPEAN ASH,65
GRAND FIR,65
CRIMSON SENTRY NORWAY MAPLE,63
SNAKEBARK MAPLE,63
GOLD CLOUD ASH,62
SHUMARD OAK,60
WEEPING JAPANESE CHERRY,60
KOTO NO IKO JAPANESE MAPLE,59
COMMOM CHOKECHERRY,57
MAGNOLIA 'CAERHAYS BELLE' ,56
OAK SPECIES,56
GIANT DOGWOOD,54
PINE SPECIES,54
WHITE HIMALAYAN BIRCH,54
DAVID'S MAPLE,53
PYRAMIDAL EUROPEAN BIRCH,53
GRAY BIRCH,52
LOMBARDY POPLAR,52
ACCOLADE CHERRY,51
MAGNOLIA 'VULCAN' ,51
ROYAL RED NORWAY MAPLE,49
SNOWCLOUD CRABAPPLE,49
COLORADO SPRUCE,48
PURPLE PLUM,48
GOLDEN DESERT ASH,47
SERVICEBERRY,47
SKYROCKET ENGLISH OAK,47
TURKISH HAZELNUT,47
REDSPIRE PEAR,46
ROSTHERN CRABAPPLE,46
ROYAL SPLENDOR CRABAPPLE,46
BLOODGOOD JAPANESE MAPLE,45
GOLDEN BEECH,45
GREEN MOUNTAIN NORWAY MAPLE,45
MORAINE HONEYLOCUST,45
SKYMASTER ENGLISH OAK,44
SOUTHERN MAGNOLIA,44
EASTERN REDCEDAR,43
PYRAMIDAL AMERICAN HORNBEAM,43
CHANCELLOR LINDEN,42
APPLE SPECIES,41
CHINA GIRL DOGWOOD,41
GLOBE CATALPA,41
MAGNOLIA 'YELLOW BIRD' ,41
ROYALTY CRABAPPLE,40
SCARLET MAPLE FRANK JR ,40
SPANISH CHESTNUT,40
WEEPING WILLOW,40
HILLIER SPIRE CHERRY,39
SINGLE SEED HAWTHORN,39
BLACK COTTONWOOD,38
SAWARA FALSECYPRESS,37
SOVEREIGN PIN OAK,37
MAGNOLIA SPECIES,36
HARLEQUIN AH,35
AMANOGAWA JAPANESE CHERRY,34
HUGARIAN OAK,34
MAGNOLIA PURPLE SENSATION ,34
PORTUGUESE LAUREL,34
SERBIAN SPRUCE,34
ARBORVITAE SPECIES,33
BUR OAK,33
EVELYN HEDGE MAPLE,33
YELLOWWOOD,32
RED JAPANESE MAPLE,31
VINE MAPLE,31
CATALPA SPECIES,30
CHINESE REDBUD AVONDALE,30
CONQUEST MAPLE ,30
EUROPEAN BIRDCHERRY,30
FERNLEAF BEECH,29
MOUNTAIN ASH SPECIES,29
PEAR SPECIES,29
PIN CHERRY,29
REDLEAF BEECH,29
SPRUCE SPECIES,29
BLACK CHERRY,28
ELWOOD NORWAY MAPLE,28
SOUTHERN BEECH,28
TRICOLOR BEECH,28
AMERICAN BEECH,27
APPRICOT PLUM,27
ENGLISH WALNUT,27
ENGLISH YEW,27
KENTUCKY COFFEETREE,27
SIEBOLD'S MAGNOLIA ,27
SNOW GOOSE CHERRY,27
WEEPING NOOTKA CYPRESS,26
CEDAR SPECIES,25
FALSECYPRESS SPECIES,25
SNOWCONE JAPANESE SNOWBELL,25
COLORADO BLUE SPRUCE,24
INGES RUBY VASE IRONWOOD,24
CHINESE WINGNUT,23
COLUMNAR SARGENT CHERRY,23
GOLDENRAIN TREE,23
HOLLY SPECIES,23
TATARIAN MAPLE,23
AUTUMN GOLD ASH,22
COMMOM JUNIPER,22
FERNLEAF COPPER BEECH,22
PONDEROSA PINE,22
PYRAMIDAL ARBORVITAE,22
CORNEL DOGWOOD,21
DUTCH ELM,21
EASTERN HORNBEAM,21
GOLDEN CAUCASIAN MAPLE,21
CALIFORNIA INCENSE CEDAR,20
GOLDEN GIANT ARBORVITAE,20
PURPLE ROBE LOCUST,20
SILVER LINDEN,20
SPECKLED ALDER,20
TCHONOSKI CRABAPPLE,20
WEEPING BEECH,20
IVY-LEAVED MAPLE,19
MAGNOLIA 'VICTORIA' ,19
MAJESTIC WHITEBEAM,19
BUTTERNUT,18
CUTLEAF SILVER MAPLE,18
DOWNY HAWTHORN,18
HAWTHORN SPECIES,18
MAGNOLIA 'APOLLO' ,18
MEDLAR APPLE,18
VAUGHN HAWTHORN,18
WHITE SPRUCE,18
SMOOTHLEAF ELM,17
AUTUMN SPLENDOR CHESTNUT,16
ELM SPECIES,16
MANCHURIAN CHERRY,16
PINK FLOWERING JAPANESE SNOWBE,16
RED ALDER,16
ROUND LEAF BEECH,16
SKYLINE HONEYLOCUST,16
