NEIGHBOURHOOD_NAME,year,count
ARBUTUS-RIDGE,2017,2219
ARBUTUS-RIDGE,2013,39
ARBUTUS-RIDGE,2012,61
ARBUTUS-RIDGE,2011,100
ARBUTUS-RIDGE,2010,158
ARBUTUS-RIDGE,2009,110
ARBUTUS-RIDGE,2008,69
ARBUTUS-RIDGE,2007,19
ARBUTUS-RIDGE,2006,33
ARBUTUS-RIDGE,2005,98
ARBUTUS-RIDGE,2004,128
ARBUTUS-RIDGE,2003,56
ARBUTUS-RIDGE,2002,270
ARBUTUS-RIDGE,2001,104
ARBUTUS-RIDGE,2000,123
ARBUTUS-RIDGE,1999,113
ARBUTUS-RIDGE,1998,52
ARBUTUS-RIDGE,1997,57
ARBUTUS-RIDGE,1996,80
ARBUTUS-RIDGE,1995,140
ARBUTUS-RIDGE,1994,52
ARBUTUS-RIDGE,1993,12
ARBUTUS-RIDGE,1992,77
ARBUTUS-RIDGE,1991,15
ARBUTUS-RIDGE,1990,71
ARBUTUS-RIDGE,1989,38
DOWNTOWN,2017,2156
DOWNTOWN,2013,19
DOWNTOWN,2012,67
DOWNTOWN,2011,96
DOWNTOWN,2010,91
DOWNTOWN,2009,165
DOWNTOWN,2008,65
DOWNTOWN,2007,34
DOWNTOWN,2006,137
DOWNTOWN,2005,92
DOWNTOWN,2004,32
DOWNTOWN,2003,64
DOWNTOWN,2002,110
DOWNTOWN,2001,45
DOWNTOWN,2000,16
DOWNTOWN,1999,107
DOWNTOWN,1998,54
DOWNTOWN,1997,98
DOWNTOWN,1996,11
DOWNTOWN,1995,69
DOWNTOWN,1994,54
DOWNTOWN,1993,11
DOWNTOWN,1992,9
DOWNTOWN,1991,21
DOWNTOWN,1990,21
DUNBAR-SOUTHLANDS,2017,5049
DUNBAR-SOUTHLANDS,2013,135
DUNBAR-SOUTHLANDS,2012,196
DUNBAR-SOUTHLANDS,2011,127
DUNBAR-SOUTHLANDS,2010,205
DUNBAR-SOUTHLANDS,2009,39
DUNBAR-SOUTHLANDS,2008,185
DUNBAR-SOUTHLANDS,2007,125
DUNBAR-SOUTHLANDS,2006,94
DUNBAR-SOUTHLANDS,2005,69
DUNBAR-SOUTHLANDS,2004,244
DUNBAR-SOUTHLANDS,2003,129
DUNBAR-SOUTHLANDS,2002,173
DUNBAR-SOUTHLANDS,2001,175
DUNBAR-SOUTHLANDS,2000,141
DUNBAR-SOUTHLANDS,1999,94
DUNBAR-SOUTHLANDS,1998,205
DUNBAR-SOUTHLANDS,1997,97
DUNBAR-SOUTHLANDS,1996,184
DUNBAR-SOUTHLANDS,1995,103
DUNBAR-SOUTHLANDS,1994,34
DUNBAR-SOUTHLANDS,1993,29
DUNBAR-SOUTHLANDS,1992,47
DUNBAR-SOUTHLANDS,1991,19
DUNBAR-SOUTHLANDS,1990,25
DUNBAR-SOUTHLANDS,1989,54
FAIRVIEW,2017,2132
FAIRVIEW,2013,18
FAIRVIEW,2012,50
FAIRVIEW,2011,29
FAIRVIEW,2010,49
FAIRVIEW,2009,49
FAIRVIEW,2008,118
FAIRVIEW,2007,12
FAIRVIEW,2006,106
FAIRVIEW,2005,38
