NEIGHBOURHOOD_NAME,mean_dia,count
KITSILANO,14.644130686757462,6902
SHAUGHNESSY,14.426847333565702,5738
DUNBAR-SOUTHLANDS,13.986504951736242,7977
WEST POINT GREY,13.2630985267035,4344
KERRISDALE,12.856988441112152,6402
WEST END,12.259739726027398,2920
GRANDVIEW-WOODLAND,12.093437385907265,5478
RILEY PARK,11.940821128846471,6077
KENSINGTON-CEDAR COTTAGE,11.872055801772763,9928
SOUTH CAMBIE,11.72374149659864,2940
ARBUTUS-RIDGE,11.639599441080577,4294
MARPOLE,11.577592978797359,5754
MOUNT PLEASANT,11.329266016122189,4714
SUNSET,10.878451793572477,7499
HASTINGS-SUNRISE,10.847051633538953,8754
FAIRVIEW,10.56726652187403,3223
VICTORIA-FRASERVIEW,10.545627322092026,6998
KILLARNEY,10.352927864214992,4949
OAKRIDGE,10.308744098205855,4236
RENFREW-COLLINGWOOD,9.956396656691776,9691
STRATHCONA,9.252528616024973,1922
DOWNTOWN,7.26731613611416,3644
