NEIGHBOURHOOD_NAME,COMMON_NAME,count
VICTORIA-FRASERVIEW,PISSARD PLUM,911
KITSILANO,NORWAY MAPLE,830
RENFREW-COLLINGWOOD,KWANZAN FLOWERING CHERRY,769
RENFREW-COLLINGWOOD,PISSARD PLUM,729
KENSINGTON-CEDAR COTTAGE,KWANZAN FLOWERING CHERRY,718
VICTORIA-FRASERVIEW,KWANZAN FLOWERING CHERRY,699
SUNSET,KWANZAN FLOWERING CHERRY,693
SUNSET,PISSARD PLUM,676
MOUNT PLEASANT,KWANZAN FLOWERING CHERRY,675
SHAUGHNESSY,NORWAY MAPLE,675
RILEY PARK,KWANZAN FLOWERING CHERRY,650
KERRISDALE,NORWAY MAPLE,640
DUNBAR-SOUTHLANDS,KWANZAN FLOWERING CHERRY,637
ARBUTUS-RIDGE,PISSARD PLUM,633
HASTINGS-SUNRISE,PISSARD PLUM,627
DUNBAR-SOUTHLANDS,PISSARD PLUM,607
DUNBAR-SOUTHLANDS,NORWAY MAPLE,569
KERRISDALE,KWANZAN FLOWERING CHERRY,531
MARPOLE,KWANZAN FLOWERING CHERRY,522
SHAUGHNESSY,AMERICAN ELM,521
OAKRIDGE,KWANZAN FLOWERING CHERRY,503
KERRISDALE,PISSARD PLUM,479
KILLARNEY,CRIMEAN LINDEN,475
OAKRIDGE,PISSARD PLUM,475
SHAUGHNESSY,PISSARD PLUM,435
KENSINGTON-CEDAR COTTAGE,PISSARD PLUM,432
MARPOLE,PISSARD PLUM,431
KITSILANO,KWANZAN FLOWERING CHERRY,408
VICTORIA-FRASERVIEW,CRIMEAN LINDEN,399
RILEY PARK,PISSARD PLUM,397
GRANDVIEW-WOODLAND,KWANZAN FLOWERING CHERRY,391
DOWNTOWN,RED MAPLE,389
KITSILANO,CRIMEAN LINDEN,386
HASTINGS-SUNRISE,KWANZAN FLOWERING CHERRY,349
ARBUTUS-RIDGE,KWANZAN FLOWERING CHERRY,345
KILLARNEY,KWANZAN FLOWERING CHERRY,336
RENFREW-COLLINGWOOD,CRIMEAN LINDEN,333
KILLARNEY,PISSARD PLUM,332
SHAUGHNESSY,KWANZAN FLOWERING CHERRY,329
WEST POINT GREY,NORWAY MAPLE,326
SUNSET,CRIMEAN LINDEN,302
KENSINGTON-CEDAR COTTAGE,CRIMEAN LINDEN,299
HASTINGS-SUNRISE,NORWAY MAPLE,298
HASTINGS-SUNRISE,HEDGE MAPLE,288
WEST POINT GREY,PISSARD PLUM,285
DUNBAR-SOUTHLANDS,NIGHT PURPLE LEAF PLUM,283
KENSINGTON-CEDAR COTTAGE,PYRAMIDAL EUROPEAN HORNBEAM,282
DUNBAR-SOUTHLANDS,AMERICAN ELM,280
RENFREW-COLLINGWOOD,AKEBONO FLOWERING CHERRY,278
VICTORIA-FRASERVIEW,NIGHT PURPLE LEAF PLUM,275
SHAUGHNESSY,COMMON HORSECHESTNUT,267
MARPOLE,NORWAY MAPLE,266
KITSILANO,COMMON HORSECHESTNUT,261
KITSILANO,PISSARD PLUM,255
DOWNTOWN,EUROPEAN BEECH,253
HASTINGS-SUNRISE,SYCAMORE MAPLE,253
KITSILANO,KOBUS MAGNOLIA ,253
HASTINGS-SUNRISE,LAVALLEI HYBRID HAWTHORN,250
KENSINGTON-CEDAR COTTAGE,BASSWOOD,248
RENFREW-COLLINGWOOD,NIGHT PURPLE LEAF PLUM,246
DUNBAR-SOUTHLANDS,COMMON HORSECHESTNUT,245
RENFREW-COLLINGWOOD,PYRAMIDAL EUROPEAN HORNBEAM,244
HASTINGS-SUNRISE,NIGHT PURPLE LEAF PLUM,241
RENFREW-COLLINGWOOD,TREE LILAC,240
HASTINGS-SUNRISE,PYRAMIDAL EUROPEAN HORNBEAM,238
DUNBAR-SOUTHLANDS,RED OAK,237
MARPOLE,PYRAMIDAL EUROPEAN HORNBEAM,237
